file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098331.1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098332.1.fastq.gz	FASTQ	DNA	7797	1910267	245	245.0	246	245.0	245.0	245.0	0	245	2	85.03	75.34	11.98	56.48	61
SRR5098333.1.fastq.gz	FASTQ	DNA	13624	3338034	245	245.0	246	245.0	245.0	245.0	0	245	2	86.92	78.17	12.71	51.19	155
SRR5098336.1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098338.1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098339.1.fastq.gz	FASTQ	DNA	3345	819541	245	245.0	246	245.0	245.0	245.0	0	245	2	85.02	75.49	11.91	55.50	5
SRR5098340.1.fastq.gz	FASTQ	DNA	1150	281750	245	245.0	245	245.0	245.0	245.0	0	245	1	78.77	69.49	9.80	49.50	0
SRR5098341.1.fastq.gz	FASTQ	DNA	221292	54216631	244	245.0	249	245.0	245.0	245.0	0	245	3	85.08	76.53	11.99	44.73	2174
SRR5098343.1.fastq.gz	FASTQ	DNA	49895	12224714	244	245.0	249	245.0	245.0	245.0	0	245	3	77.00	67.09	9.43	53.05	7
SRR5098346.1.fastq.gz	FASTQ	DNA	27354	6701753	245	245.0	250	245.0	245.0	245.0	0	245	3	79.98	70.81	10.12	48.21	4
SRR5098347.1.fastq.gz	FASTQ	DNA	1011	247695	245	245.0	245	245.0	245.0	245.0	0	245	1	100.00	100.00	30.00	55.58	0
SRR5098348.1.fastq.gz	FASTQ	DNA	7838	1927153	245	245.9	248	245.0	245.0	248.0	0	245	3	79.26	70.07	9.97	48.60	1
SRR5098349.1.fastq.gz	FASTQ	DNA	36163	8864645	244	245.1	250	245.0	245.0	245.0	0	245	4	78.95	69.36	9.90	45.61	2
SRR5098351.1.fastq.gz	FASTQ	DNA	91720	22471457	244	245.0	247	245.0	245.0	245.0	0	245	3	81.13	71.43	10.44	46.07	7
SRR5098354.1.fastq.gz	FASTQ	DNA	38352	7480881	195	195.1	220	195.0	195.0	195.0	0	195	5	97.26	94.70	20.01	46.69	0
