file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098331.1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098332.1.fastq.gz	FASTQ	DNA	7841	1921047	245	245.0	246	245.0	245.0	245.0	0	245	2	85.02	75.32	11.97	56.52	61
SRR5098333.1.fastq.gz	FASTQ	DNA	13669	3349060	245	245.0	246	245.0	245.0	245.0	0	245	2	86.86	78.10	12.68	51.21	155
SRR5098336.1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098338.1.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098339.1.fastq.gz	FASTQ	DNA	5208	1277773	245	245.3	246	245.0	245.0	246.0	0	245	2	82.99	72.63	11.24	57.22	38
SRR5098340.1.fastq.gz	FASTQ	DNA	1152	282240	245	245.0	245	245.0	245.0	245.0	0	245	1	78.71	69.44	9.78	49.52	0
SRR5098341.1.fastq.gz	FASTQ	DNA	222833	54594884	244	245.0	250	245.0	245.0	245.0	0	245	4	85.05	76.48	11.97	44.85	2174
SRR5098343.1.fastq.gz	FASTQ	DNA	52230	12796800	244	245.0	249	245.0	245.0	245.0	0	245	3	76.95	67.05	9.42	53.28	7
SRR5098346.1.fastq.gz	FASTQ	DNA	28913	7090724	106	245.2	251	245.0	245.0	245.0	0	245	4	79.97	70.79	10.10	47.63	4
SRR5098347.1.fastq.gz	FASTQ	DNA	1013	248185	245	245.0	245	245.0	245.0	245.0	0	245	1	100.00	100.00	30.00	55.59	0
SRR5098348.1.fastq.gz	FASTQ	DNA	7857	1931827	245	245.9	248	245.0	245.0	248.0	0	245	3	79.14	69.94	9.94	48.59	1
SRR5098349.1.fastq.gz	FASTQ	DNA	36318	8902724	244	245.1	250	245.0	245.0	245.0	0	245	4	78.81	69.23	9.87	45.65	3
SRR5098351.1.fastq.gz	FASTQ	DNA	92525	22669356	244	245.0	250	245.0	245.0	245.0	0	245	4	81.03	71.32	10.41	46.16	7
SRR5098354.1.fastq.gz	FASTQ	DNA	38847	7577057	64	195.0	220	195.0	195.0	195.0	0	195	6	97.23	94.65	19.98	46.84	0
SRR5098355.1.fastq.gz	FASTQ	DNA	16454	3208196	99	195.0	200	195.0	195.0	195.0	0	195	3	96.75	94.10	19.09	45.09	0
SRR5098356.1.fastq.gz	FASTQ	DNA	11818	2304788	195	195.0	200	195.0	195.0	195.0	0	195	4	96.91	94.09	19.38	47.90	0
SRR5098357.1.fastq.gz	FASTQ	DNA	11884	2914450	28	245.2	247	245.0	245.0	246.0	0	245	3	76.59	66.85	9.32	56.69	5
SRR5098359.1.fastq.gz	FASTQ	DNA	72447	17751072	244	245.0	250	245.0	245.0	245.0	0	245	4	79.13	70.93	9.93	41.82	12
SRR5098360.1.fastq.gz	FASTQ	DNA	14686	2863137	27	195.0	200	195.0	195.0	195.0	0	195	3	96.49	93.03	19.06	60.21	0
SRR5098361.1.fastq.gz	FASTQ	DNA	20525	5028631	245	245.0	246	245.0	245.0	245.0	0	245	2	79.36	70.26	9.94	55.04	2
SRR5098363.1.fastq.gz	FASTQ	DNA	28182	5493931	13	194.9	200	195.0	195.0	195.0	0	195	5	96.10	92.91	18.60	46.77	0
SRR5098364.1.fastq.gz	FASTQ	DNA	37367	9155402	244	245.0	246	245.0	245.0	245.0	0	245	2	83.63	74.72	11.47	47.12	631
SRR5098366.1.fastq.gz	FASTQ	DNA	44157	10820561	244	245.0	250	245.0	245.0	245.0	0	245	5	85.63	77.14	12.21	44.81	648
SRR5098367.1.fastq.gz	FASTQ	DNA	88780	21751471	244	245.0	249	245.0	245.0	245.0	0	245	4	84.82	76.26	11.91	44.37	1065
SRR5098368.1.fastq.gz	FASTQ	DNA	14783	3639814	61	246.2	250	245.0	245.0	249.0	0	245	4	79.65	69.99	10.00	51.12	1
SRR5098369.1.fastq.gz	FASTQ	DNA	27117	6644545	245	245.0	249	245.0	245.0	245.0	0	245	3	86.65	77.99	12.69	45.79	168
SRR5098370.1.fastq.gz	FASTQ	DNA	5312	1033313	3	194.5	200	195.0	195.0	195.0	0	195	4	97.58	94.99	20.79	57.44	0
SRR5098371.1.fastq.gz	FASTQ	DNA	190575	46692438	244	245.0	250	245.0	245.0	245.0	0	245	4	86.79	78.24	12.77	43.42	2127
SRR5098372.1.fastq.gz	FASTQ	DNA	18817	4610176	245	245.0	250	245.0	245.0	245.0	0	245	3	81.25	71.19	10.47	45.15	0
SRR5098373.1.fastq.gz	FASTQ	DNA	20876	5114843	245	245.0	249	245.0	245.0	245.0	0	245	3	86.22	77.26	12.44	50.28	175
SRR5098374.1.fastq.gz	FASTQ	DNA	7691	1884407	245	245.0	249	245.0	245.0	245.0	0	245	3	86.49	77.06	12.53	55.57	39
SRR5098375.1.fastq.gz	FASTQ	DNA	30599	7496772	244	245.0	246	245.0	245.0	245.0	0	245	2	79.51	70.94	10.02	44.96	3
SRR5098376.1.fastq.gz	FASTQ	DNA	14162	3469590	149	245.0	246	245.0	245.0	245.0	0	245	2	79.71	69.69	10.07	50.22	0
SRR5098377.1.fastq.gz	FASTQ	DNA	38394	9406552	244	245.0	249	245.0	245.0	245.0	0	245	4	86.21	76.82	12.39	55.75	422
SRR5098378.1.fastq.gz	FASTQ	DNA	30394	7447484	63	245.0	250	245.0	245.0	245.0	0	245	4	79.22	69.44	9.92	50.88	3
SRR5098379.1.fastq.gz	FASTQ	DNA	4154	1017136	54	244.9	246	245.0	245.0	245.0	0	245	2	79.38	70.29	9.93	52.74	0
SRR5098380.1.fastq.gz	FASTQ	DNA	387	94817	245	245.0	247	245.0	245.0	245.0	0	245	2	89.22	80.50	13.71	53.94	0
SRR5098382.1.fastq.gz	FASTQ	DNA	3216	787923	245	245.0	246	245.0	245.0	245.0	0	245	2	79.21	70.08	9.94	44.45	0
SRR5098383.1.fastq.gz	FASTQ	DNA	1324	330876	245	249.9	251	250.0	250.0	250.0	0	250	2	87.21	81.18	11.98	39.52	1
SRR5098384.1.fastq.gz	FASTQ	DNA	78820	19335992	245	245.3	250	245.0	245.0	245.0	0	245	5	81.04	70.82	10.43	47.20	1
SRR5098385.1.fastq.gz	FASTQ	DNA	30155	7387990	245	245.0	249	245.0	245.0	245.0	0	245	3	85.34	76.92	12.11	42.85	277
SRR5098386.1.fastq.gz	FASTQ	DNA	14852	3639522	245	245.1	249	245.0	245.0	245.0	0	245	4	81.70	71.74	10.92	57.75	243
SRR5098388.1.fastq.gz	FASTQ	DNA	54381	13323383	245	245.0	249	245.0	245.0	245.0	0	245	4	80.48	71.06	10.25	52.68	2
SRR5098389.1.fastq.gz	FASTQ	DNA	48041	11776295	245	245.1	264	245.0	245.0	245.0	0	245	5	79.20	70.56	9.95	44.70	12
SRR5098390.1.fastq.gz	FASTQ	DNA	86935	21299144	244	245.0	250	245.0	245.0	245.0	0	245	5	80.04	70.50	10.18	61.01	508
SRR5098392.1.fastq.gz	FASTQ	DNA	28282	6929106	245	245.0	249	245.0	245.0	245.0	0	245	3	86.56	77.30	12.58	55.50	341
SRR5098393.1.fastq.gz	FASTQ	DNA	29568	7244180	245	245.0	250	245.0	245.0	245.0	0	245	4	77.05	67.62	9.41	52.62	12
SRR5098394.1.fastq.gz	FASTQ	DNA	105012	25728227	244	245.0	250	245.0	245.0	245.0	0	245	4	79.02	70.54	9.90	44.66	29
SRR5098395.1.fastq.gz	FASTQ	DNA	20213	4983733	245	246.6	251	245.0	245.0	250.0	0	245	6	85.46	76.88	11.93	44.95	253
SRR5098396.1.fastq.gz	FASTQ	DNA	27246	6675144	165	245.0	247	245.0	245.0	245.0	0	245	3	80.00	70.94	10.17	46.77	2
SRR5098397.1.fastq.gz	FASTQ	DNA	17514	4292956	39	245.1	247	245.0	245.0	245.0	0	245	3	78.90	69.04	9.90	48.75	0
SRR5098398.1.fastq.gz	FASTQ	DNA	168937	42233706	245	250.0	252	250.0	250.0	250.0	0	250	3	81.75	72.37	10.30	37.61	36
SRR5098400.1.fastq.gz	FASTQ	DNA	29030	7112364	245	245.0	246	245.0	245.0	245.0	0	245	2	79.16	69.85	9.90	53.10	8
SRR5098401.1.fastq.gz	FASTQ	DNA	125458	30737381	242	245.0	249	245.0	245.0	245.0	0	245	4	87.01	78.27	12.90	46.63	1233
SRR5098402.1.fastq.gz	FASTQ	DNA	11565	2835700	245	245.2	247	245.0	245.0	245.0	0	245	3	76.88	66.74	9.44	54.35	2
SRR5098403.1.fastq.gz	FASTQ	DNA	85230	20881396	244	245.0	249	245.0	245.0	245.0	0	245	4	86.33	77.90	12.50	43.55	710
SRR5098404.1.fastq.gz	FASTQ	DNA	17555	3433116	99	195.6	200	195.0	196.0	196.0	0	196	3	94.49	90.00	16.49	62.89	0
SRR5098406.1.fastq.gz	FASTQ	DNA	61358	15066338	245	245.5	249	245.0	246.0	246.0	0	246	3	86.32	76.73	12.51	50.13	769
SRR5098407.1.fastq.gz	FASTQ	DNA	3276	802621	245	245.0	246	245.0	245.0	245.0	0	245	2	85.71	77.15	12.24	44.08	19
SRR5098408.1.fastq.gz	FASTQ	DNA	2570	629652	245	245.0	246	245.0	245.0	245.0	0	245	2	84.65	74.77	11.51	45.99	0
