file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098331.2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098332.2.fastq.gz	FASTQ	DNA	2569	691061	269	269.0	269	269.0	269.0	269.0	0	269	1	61.89	53.63	6.81	48.40	0
SRR5098333.2.fastq.gz	FASTQ	DNA	9857	2651539	269	269.0	270	269.0	269.0	269.0	0	269	2	61.60	53.34	6.76	47.85	0
SRR5098336.2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098338.2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098339.2.fastq.gz	FASTQ	DNA	2530	680570	269	269.0	269	269.0	269.0	269.0	0	269	1	53.85	45.02	5.89	55.50	0
SRR5098340.2.fastq.gz	FASTQ	DNA	1145	308005	269	269.0	269	269.0	269.0	269.0	0	269	1	58.51	51.65	6.13	46.78	0
SRR5098341.2.fastq.gz	FASTQ	DNA	185154	49806439	269	269.0	270	269.0	269.0	269.0	0	269	2	55.26	47.50	5.95	40.00	0
SRR5098343.2.fastq.gz	FASTQ	DNA	25595	6885060	269	269.0	270	269.0	269.0	269.0	0	269	2	59.90	51.94	6.38	39.73	0
SRR5098346.2.fastq.gz	FASTQ	DNA	23220	6246184	268	269.0	270	269.0	269.0	269.0	0	269	2	57.80	50.54	6.07	43.14	0
SRR5098347.2.fastq.gz	FASTQ	DNA	207	55683	269	269.0	269	269.0	269.0	269.0	0	269	1	100.00	100.00	30.00	41.69	0
SRR5098348.2.fastq.gz	FASTQ	DNA	5376	1446144	269	269.0	269	269.0	269.0	269.0	0	269	1	55.20	47.79	5.82	42.84	0
SRR5098349.2.fastq.gz	FASTQ	DNA	30231	8132142	269	269.0	270	269.0	269.0	269.0	0	269	2	60.83	52.43	6.45	40.19	0
SRR5098351.2.fastq.gz	FASTQ	DNA	80667	21699440	269	269.0	270	269.0	269.0	269.0	0	269	2	59.95	52.52	6.32	42.92	0
SRR5098354.2.fastq.gz	FASTQ	DNA	26906	5892418	219	219.0	221	219.0	219.0	219.0	0	219	3	79.72	73.03	9.64	39.55	0
SRR5098355.2.fastq.gz	FASTQ	DNA	13865	3036435	219	219.0	219	219.0	219.0	219.0	0	219	1	80.48	73.60	9.86	39.88	0
SRR5098356.2.fastq.gz	FASTQ	DNA	8558	1874202	219	219.0	219	219.0	219.0	219.0	0	219	1	77.48	70.13	9.12	39.60	0
SRR5098357.2.fastq.gz	FASTQ	DNA	1954	525627	269	269.0	270	269.0	269.0	269.0	0	269	2	52.34	45.06	5.52	37.94	0
SRR5098359.2.fastq.gz	FASTQ	DNA	69318	18646546	269	269.0	270	269.0	269.0	269.0	0	269	2	52.80	45.54	5.56	37.89	0
SRR5098360.2.fastq.gz	FASTQ	DNA	2140	468661	219	219.0	220	219.0	219.0	219.0	0	219	2	85.08	77.70	11.26	40.52	0
SRR5098361.2.fastq.gz	FASTQ	DNA	74	19906	269	269.0	269	269.0	269.0	269.0	0	269	1	27.83	21.00	3.87	49.76	0
SRR5098363.2.fastq.gz	FASTQ	DNA	24311	5324117	219	219.0	220	219.0	219.0	219.0	0	219	2	89.57	81.39	13.48	44.50	0
SRR5098364.2.fastq.gz	FASTQ	DNA	27614	7428168	269	269.0	270	269.0	269.0	269.0	0	269	2	54.80	47.08	5.90	39.92	0
SRR5098366.2.fastq.gz	FASTQ	DNA	34059	9161871	269	269.0	269	269.0	269.0	269.0	0	269	1	54.69	46.78	5.91	40.11	0
SRR5098367.2.fastq.gz	FASTQ	DNA	72003	19368810	268	269.0	270	269.0	269.0	269.0	0	269	2	55.23	47.32	5.97	40.07	0
SRR5098368.2.fastq.gz	FASTQ	DNA	37	9953	269	269.0	269	269.0	269.0	269.0	0	269	1	33.07	26.99	4.05	50.59	0
SRR5098369.2.fastq.gz	FASTQ	DNA	23216	6245104	269	269.0	269	269.0	269.0	269.0	0	269	1	60.76	52.28	6.64	43.26	0
SRR5098370.2.fastq.gz	FASTQ	DNA	277	60663	219	219.0	219	219.0	219.0	219.0	0	219	1	85.25	75.25	11.87	45.83	0
SRR5098371.2.fastq.gz	FASTQ	DNA	174440	46924386	269	269.0	270	269.0	269.0	269.0	0	269	2	59.84	51.57	6.50	40.95	0
SRR5098372.2.fastq.gz	FASTQ	DNA	15299	4115431	269	269.0	269	269.0	269.0	269.0	0	269	1	59.70	52.21	6.30	40.76	0
SRR5098373.2.fastq.gz	FASTQ	DNA	8869	2385761	269	269.0	269	269.0	269.0	269.0	0	269	1	55.80	47.72	6.04	41.41	0
SRR5098374.2.fastq.gz	FASTQ	DNA	679	182651	269	269.0	269	269.0	269.0	269.0	0	269	1	57.21	48.90	6.31	47.61	0
SRR5098375.2.fastq.gz	FASTQ	DNA	24184	6505496	269	269.0	269	269.0	269.0	269.0	0	269	1	53.49	46.05	5.63	38.14	0
SRR5098376.2.fastq.gz	FASTQ	DNA	4505	1211845	269	269.0	269	269.0	269.0	269.0	0	269	1	60.12	52.45	6.35	42.83	0
SRR5098377.2.fastq.gz	FASTQ	DNA	12480	3357121	269	269.0	270	269.0	269.0	269.0	0	269	2	61.70	53.41	6.77	46.21	0
SRR5098378.2.fastq.gz	FASTQ	DNA	7884	2120799	269	269.0	270	269.0	269.0	269.0	0	269	2	57.82	49.91	6.10	41.79	0
SRR5098379.2.fastq.gz	FASTQ	DNA	1873	503838	269	269.0	270	269.0	269.0	269.0	0	269	2	59.02	52.26	6.19	46.89	0
SRR5098380.2.fastq.gz	FASTQ	DNA	106	28514	269	269.0	269	269.0	269.0	269.0	0	269	1	65.18	56.97	7.21	46.14	0
SRR5098382.2.fastq.gz	FASTQ	DNA	1036	278684	269	269.0	269	269.0	269.0	269.0	0	269	1	53.27	45.89	5.61	37.72	0
SRR5098383.2.fastq.gz	FASTQ	DNA	2	538	269	269.0	269	269.0	269.0	269.0	0	269	1	36.06	23.61	4.62	44.80	0
SRR5098384.2.fastq.gz	FASTQ	DNA	69240	18625589	269	269.0	271	269.0	269.0	269.0	0	269	3	61.92	54.44	6.56	44.19	0
SRR5098385.2.fastq.gz	FASTQ	DNA	27350	7357154	269	269.0	270	269.0	269.0	269.0	0	269	2	56.05	48.10	6.05	40.09	0
SRR5098386.2.fastq.gz	FASTQ	DNA	1248	335712	269	269.0	269	269.0	269.0	269.0	0	269	1	50.75	43.20	5.52	41.48	0
SRR5098388.2.fastq.gz	FASTQ	DNA	566	152254	269	269.0	269	269.0	269.0	269.0	0	269	1	57.40	50.87	6.00	46.59	0
SRR5098389.2.fastq.gz	FASTQ	DNA	37192	10004651	269	269.0	270	269.0	269.0	269.0	0	269	2	53.74	46.42	5.65	38.05	0
SRR5098390.2.fastq.gz	FASTQ	DNA	6390	1718910	269	269.0	269	269.0	269.0	269.0	0	269	1	57.02	48.87	6.18	40.48	0
SRR5098392.2.fastq.gz	FASTQ	DNA	2582	694558	269	269.0	269	269.0	269.0	269.0	0	269	1	51.47	43.76	5.60	41.05	0
SRR5098393.2.fastq.gz	FASTQ	DNA	9745	2621405	269	269.0	269	269.0	269.0	269.0	0	269	1	53.47	45.82	5.64	38.34	0
SRR5098394.2.fastq.gz	FASTQ	DNA	82529	22200309	269	269.0	270	269.0	269.0	269.0	0	269	2	53.06	45.77	5.58	38.07	0
SRR5098395.2.fastq.gz	FASTQ	DNA	12817	3447773	269	269.0	269	269.0	269.0	269.0	0	269	1	62.87	53.43	7.01	46.57	0
SRR5098396.2.fastq.gz	FASTQ	DNA	16739	4502792	269	269.0	270	269.0	269.0	269.0	0	269	2	53.51	46.24	5.62	37.71	0
SRR5098397.2.fastq.gz	FASTQ	DNA	9441	2539631	269	269.0	270	269.0	269.0	269.0	0	269	2	56.92	49.55	5.97	38.02	0
SRR5098398.2.fastq.gz	FASTQ	DNA	20	5380	269	269.0	269	269.0	269.0	269.0	0	269	1	37.79	29.35	4.51	40.71	0
SRR5098400.2.fastq.gz	FASTQ	DNA	5403	1453407	269	269.0	269	269.0	269.0	269.0	0	269	1	56.84	49.12	5.99	38.62	0
SRR5098401.2.fastq.gz	FASTQ	DNA	106939	28766617	269	269.0	270	269.0	269.0	269.0	0	269	2	61.67	52.85	6.80	45.03	0
SRR5098402.2.fastq.gz	FASTQ	DNA	1755	472095	269	269.0	269	269.0	269.0	269.0	0	269	1	59.76	52.53	6.29	41.70	0
SRR5098403.2.fastq.gz	FASTQ	DNA	78172	21028277	269	269.0	270	269.0	269.0	269.0	0	269	2	58.66	50.12	6.39	40.77	0
SRR5098404.2.fastq.gz	FASTQ	DNA	2944	644736	219	219.0	219	219.0	219.0	219.0	0	219	1	85.84	77.02	11.88	47.82	0
SRR5098406.2.fastq.gz	FASTQ	DNA	42372	11398074	269	269.0	270	269.0	269.0	269.0	0	269	2	61.57	52.33	6.77	49.33	0
SRR5098407.2.fastq.gz	FASTQ	DNA	2850	766650	269	269.0	269	269.0	269.0	269.0	0	269	1	56.04	48.20	6.03	40.18	0
SRR5098408.2.fastq.gz	FASTQ	DNA	2472	664970	269	269.0	270	269.0	269.0	269.0	0	269	2	63.68	55.58	6.76	43.33	0
SRR5098409.2.fastq.gz	FASTQ	DNA	234036	62955714	269	269.0	271	269.0	269.0	269.0	0	269	3	55.29	47.52	5.96	40.06	0
SRR5098410.2.fastq.gz	FASTQ	DNA	11920	3206482	269	269.0	270	269.0	269.0	269.0	0	269	2	54.87	47.63	5.76	40.17	0
SRR5098411.2.fastq.gz	FASTQ	DNA	842	226498	269	269.0	269	269.0	269.0	269.0	0	269	1	55.76	47.89	5.88	38.30	0
SRR5098413.2.fastq.gz	FASTQ	DNA	89960	24199249	269	269.0	270	269.0	269.0	269.0	0	269	2	56.10	48.20	6.05	40.43	0
SRR5098415.2.fastq.gz	FASTQ	DNA	9730	2617371	269	269.0	270	269.0	269.0	269.0	0	269	2	58.41	50.25	6.34	41.07	0
SRR5098416.2.fastq.gz	FASTQ	DNA	2725	733025	269	269.0	269	269.0	269.0	269.0	0	269	1	67.46	58.30	7.58	46.51	0
SRR5098417.2.fastq.gz	FASTQ	DNA	2184	587497	269	269.0	270	269.0	269.0	269.0	0	269	2	57.70	50.68	6.06	46.34	0
SRR5098419.2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098420.2.fastq.gz	FASTQ	DNA	263	70747	269	269.0	269	269.0	269.0	269.0	0	269	1	27.84	19.23	4.04	49.89	0
SRR5098421.2.fastq.gz	FASTQ	DNA	172345	46360826	269	269.0	271	269.0	269.0	269.0	0	269	3	55.47	47.55	5.98	40.11	0
SRR5098423.2.fastq.gz	FASTQ	DNA	1059	231921	219	219.0	219	219.0	219.0	219.0	0	219	1	85.75	77.56	11.70	45.97	0
SRR5098425.2.fastq.gz	FASTQ	DNA	83559	22477374	268	269.0	270	269.0	269.0	269.0	0	269	2	62.44	53.68	6.88	45.30	0
SRR5098426.2.fastq.gz	FASTQ	DNA	5079	1366254	269	269.0	270	269.0	269.0	269.0	0	269	2	61.42	52.96	6.54	42.71	0
SRR5098427.2.fastq.gz	FASTQ	DNA	464	124816	269	269.0	269	269.0	269.0	269.0	0	269	1	59.56	50.94	6.49	45.50	0
SRR5098429.2.fastq.gz	FASTQ	DNA	2188	588572	269	269.0	269	269.0	269.0	269.0	0	269	1	52.76	45.56	5.55	37.52	0
SRR5098430.2.fastq.gz	FASTQ	DNA	6021	1619649	269	269.0	269	269.0	269.0	269.0	0	269	1	52.75	45.58	5.55	37.53	0
SRR5098431.2.fastq.gz	FASTQ	DNA	763	205248	269	269.0	270	269.0	269.0	269.0	0	269	2	54.34	46.63	5.86	40.26	0
SRR5098432.2.fastq.gz	FASTQ	DNA	2137	574853	269	269.0	269	269.0	269.0	269.0	0	269	1	53.89	46.12	5.80	39.86	0
SRR5098434.2.fastq.gz	FASTQ	DNA	15768	4241593	269	269.0	270	269.0	269.0	269.0	0	269	2	53.89	46.47	5.67	38.44	0
SRR5098435.2.fastq.gz	FASTQ	DNA	17789	4785243	269	269.0	270	269.0	269.0	269.0	0	269	2	61.25	53.68	6.48	43.28	0
SRR5098436.2.fastq.gz	FASTQ	DNA	825	221925	269	269.0	269	269.0	269.0	269.0	0	269	1	55.81	47.83	5.90	36.91	0
