file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098331.2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098332.2.fastq.gz	FASTQ	DNA	4446	1195974	269	269.0	269	269.0	269.0	269.0	0	269	1	58.62	50.40	6.39	51.49	0
SRR5098333.2.fastq.gz	FASTQ	DNA	11812	3177436	269	269.0	270	269.0	269.0	269.0	0	269	2	60.45	52.26	6.61	49.14	0
SRR5098336.2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098338.2.fastq.gz			0	0	0	0.0	0	0.0	0.0	0.0	0	0	0	0.00	0.00	0.00	0.00	0
SRR5098339.2.fastq.gz	FASTQ	DNA	4498	1209963	269	269.0	270	269.0	269.0	269.0	0	269	2	54.52	45.96	5.95	56.13	0
SRR5098340.2.fastq.gz	FASTQ	DNA	1150	309350	269	269.0	269	269.0	269.0	269.0	0	269	1	58.33	51.47	6.11	46.78	0
SRR5098341.2.fastq.gz	FASTQ	DNA	193908	52161293	269	269.0	271	269.0	269.0	269.0	0	269	3	54.57	46.79	5.89	40.23	0
SRR5098343.2.fastq.gz	FASTQ	DNA	42108	11327166	269	269.0	271	269.0	269.0	269.0	0	269	3	56.15	48.41	5.96	48.94	0
SRR5098346.2.fastq.gz	FASTQ	DNA	26476	7122053	268	269.0	270	269.0	269.0	269.0	0	269	2	57.93	50.59	6.09	43.37	0
SRR5098347.2.fastq.gz	FASTQ	DNA	768	206592	269	269.0	269	269.0	269.0	269.0	0	269	1	100.00	100.00	30.00	51.99	0
SRR5098348.2.fastq.gz	FASTQ	DNA	7794	2096588	268	269.0	270	269.0	269.0	269.0	0	269	2	55.00	47.71	5.79	45.85	0
SRR5098349.2.fastq.gz	FASTQ	DNA	30670	8250240	269	269.0	270	269.0	269.0	269.0	0	269	2	60.44	52.04	6.41	40.21	0
SRR5098351.2.fastq.gz	FASTQ	DNA	89666	24120191	269	269.0	271	269.0	269.0	269.0	0	269	3	59.19	51.79	6.24	43.86	0
SRR5098354.2.fastq.gz	FASTQ	DNA	36858	8071915	219	219.0	221	219.0	219.0	219.0	0	219	3	78.89	71.19	9.57	42.86	0
SRR5098355.2.fastq.gz	FASTQ	DNA	15193	3327273	219	219.0	220	219.0	219.0	219.0	0	219	2	79.53	72.31	9.68	40.34	0
SRR5098356.2.fastq.gz	FASTQ	DNA	9809	2148174	218	219.0	220	219.0	219.0	219.0	0	219	2	76.44	68.61	8.98	40.91	0
SRR5098357.2.fastq.gz	FASTQ	DNA	8079	2173256	269	269.0	270	269.0	269.0	269.0	0	269	2	53.98	46.66	5.68	51.54	0
SRR5098359.2.fastq.gz	FASTQ	DNA	71935	19350529	269	269.0	270	269.0	269.0	269.0	0	269	2	52.28	44.98	5.51	37.98	0
SRR5098360.2.fastq.gz	FASTQ	DNA	4646	1017475	219	219.0	220	219.0	219.0	219.0	0	219	2	82.48	73.51	10.70	48.20	0
SRR5098361.2.fastq.gz	FASTQ	DNA	17566	4725259	269	269.0	271	269.0	269.0	269.0	0	269	3	55.51	48.59	5.81	53.65	0
SRR5098363.2.fastq.gz	FASTQ	DNA	25101	5497130	219	219.0	221	219.0	219.0	219.0	0	219	3	88.99	80.70	13.22	44.66	0
SRR5098364.2.fastq.gz	FASTQ	DNA	30552	8218491	269	269.0	270	269.0	269.0	269.0	0	269	2	53.90	46.11	5.82	41.42	0
SRR5098366.2.fastq.gz	FASTQ	DNA	43071	11586109	269	269.0	270	269.0	269.0	269.0	0	269	2	54.56	46.64	5.90	42.96	0
SRR5098367.2.fastq.gz	FASTQ	DNA	86051	23147726	268	269.0	270	269.0	269.0	269.0	0	269	2	54.77	46.86	5.93	42.21	0
SRR5098368.2.fastq.gz	FASTQ	DNA	8135	2188317	269	269.0	270	269.0	269.0	269.0	0	269	2	55.75	48.88	5.83	53.80	0
SRR5098369.2.fastq.gz	FASTQ	DNA	25315	6809737	269	269.0	270	269.0	269.0	269.0	0	269	2	59.78	51.33	6.53	44.02	0
SRR5098370.2.fastq.gz	FASTQ	DNA	3438	752923	219	219.0	220	219.0	219.0	219.0	0	219	2	82.55	72.76	10.82	52.36	0
SRR5098371.2.fastq.gz	FASTQ	DNA	183654	49402952	15	269.0	270	269.0	269.0	269.0	0	269	2	59.09	50.80	6.42	41.14	0
SRR5098372.2.fastq.gz	FASTQ	DNA	18153	4883161	269	269.0	270	269.0	269.0	269.0	0	269	2	58.12	50.65	6.13	42.27	0
SRR5098373.2.fastq.gz	FASTQ	DNA	16746	4504728	269	269.0	270	269.0	269.0	269.0	0	269	2	54.56	46.21	5.93	46.37	0
SRR5098374.2.fastq.gz	FASTQ	DNA	6820	1834580	269	269.0	269	269.0	269.0	269.0	0	269	1	55.77	47.56	6.06	54.64	0
SRR5098375.2.fastq.gz	FASTQ	DNA	28670	7712234	269	269.0	270	269.0	269.0	269.0	0	269	2	53.24	45.80	5.61	40.19	0
