file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098332.1.fastq.gz	FASTQ	DNA	7743	2136068	74	275.9	300	275.0	295.0	300.0	0	296	5	95.12	86.50	23.54	52.41	0
SRR5098332.2.fastq.gz	FASTQ	DNA	7743	1522399	20	196.6	298	179.0	202.0	223.0	0	210	68	92.29	80.92	21.57	53.79	0
SRR5098333.1.fastq.gz	FASTQ	DNA	13446	3763712	56	279.9	300	278.0	296.0	300.0	0	297	4	95.50	87.78	23.99	48.34	0
SRR5098333.2.fastq.gz	FASTQ	DNA	13446	2765984	20	205.7	300	189.0	215.0	232.0	0	218	73	92.29	81.21	21.62	49.22	0
SRR5098339.1.fastq.gz	FASTQ	DNA	5163	1397213	51	270.6	300	266.0	293.0	300.0	0	294	7	94.71	85.28	23.09	53.96	0
SRR5098339.2.fastq.gz	FASTQ	DNA	5163	981388	20	190.1	282	178.0	195.0	218.0	0	202	70	91.45	78.93	21.11	53.46	0
SRR5098340.1.fastq.gz	FASTQ	DNA	7138	908363	30	127.3	300	85.0	92.0	143.0	0	128	172	94.74	87.46	23.67	44.44	0
SRR5098340.2.fastq.gz	FASTQ	DNA	7138	742416	22	104.0	300	75.0	83.0	108.0	0	85	155	96.89	91.84	25.37	46.50	0
SRR5098341.1.fastq.gz	FASTQ	DNA	219985	61020066	31	277.4	300	277.0	291.0	300.0	0	293	8	95.05	87.37	23.65	43.58	0
SRR5098341.2.fastq.gz	FASTQ	DNA	219985	41831097	20	190.2	300	184.0	195.0	206.0	0	197	102	92.23	80.67	21.65	43.16	0
SRR5098343.1.fastq.gz	FASTQ	DNA	52057	13394154	24	257.3	300	239.0	265.0	285.0	0	274	27	94.65	85.08	23.89	49.67	0
SRR5098343.2.fastq.gz	FASTQ	DNA	52057	9973315	21	191.6	300	176.0	195.0	216.0	0	198	95	93.91	83.00	22.66	51.00	0
SRR5098346.1.fastq.gz	FASTQ	DNA	45281	9085086	23	200.6	300	84.0	240.0	279.0	0	272	29	94.95	86.67	23.86	44.45	0
SRR5098346.2.fastq.gz	FASTQ	DNA	45281	6824794	20	150.7	293	69.0	178.0	205.0	0	195	86	95.34	86.41	23.41	45.46	0
SRR5098347.1.fastq.gz	FASTQ	DNA	1051	315300	300	300.0	300	300.0	300.0	300.0	0	300	1	100.00	100.00	30.00	50.81	0
SRR5098347.2.fastq.gz	FASTQ	DNA	1051	315300	300	300.0	300	300.0	300.0	300.0	0	300	1	100.00	100.00	30.00	53.49	0
SRR5098348.1.fastq.gz	FASTQ	DNA	8112	2081933	48	256.6	300	239.0	276.0	285.0	0	276	25	94.83	86.01	23.85	47.07	0
SRR5098348.2.fastq.gz	FASTQ	DNA	8112	1501905	21	185.1	271	175.0	193.0	206.0	0	195	64	94.46	83.95	22.64	46.54	0
SRR5098349.1.fastq.gz	FASTQ	DNA	37031	9676486	26	261.3	300	249.0	268.0	287.0	0	275	26	94.80	85.66	23.93	43.61	0
SRR5098349.2.fastq.gz	FASTQ	DNA	37031	7419328	21	200.4	300	184.0	206.0	223.0	0	209	88	94.63	83.52	22.81	44.39	0
SRR5098351.1.fastq.gz	FASTQ	DNA	92202	24564517	26	266.4	300	251.0	279.0	293.0	0	282	19	95.13	86.05	23.82	44.81	0
SRR5098351.2.fastq.gz	FASTQ	DNA	92202	18344721	20	199.0	297	187.0	203.0	221.0	0	207	85	94.92	84.74	22.93	45.27	0
SRR5098354.1.fastq.gz	FASTQ	DNA	66851	12549235	20	187.7	250	97.0	249.0	250.0	0	250	1	97.09	93.40	26.04	43.45	0
SRR5098354.2.fastq.gz	FASTQ	DNA	66851	10450167	20	156.3	250	78.0	193.0	217.0	0	207	44	95.57	88.02	24.07	43.47	0
SRR5098355.1.fastq.gz	FASTQ	DNA	33618	5922138	35	176.2	250	97.0	200.0	250.0	0	250	1	96.55	92.25	25.42	42.58	0
SRR5098355.2.fastq.gz	FASTQ	DNA	33618	4924080	20	146.5	250	82.0	125.0	211.0	0	205	46	95.75	88.84	24.29	42.80	0
SRR5098356.1.fastq.gz	FASTQ	DNA	12210	2950256	74	241.6	250	250.0	250.0	250.0	0	250	1	98.76	96.39	29.31	45.44	0
SRR5098356.2.fastq.gz	FASTQ	DNA	12210	2441955	20	200.0	250	194.0	205.0	219.0	0	207	44	94.55	84.92	23.09	44.08	0
SRR5098357.1.fastq.gz	FASTQ	DNA	12472	3102613	32	248.8	300	223.0	264.0	286.0	0	276	25	94.53	85.03	23.47	53.34	0
SRR5098357.2.fastq.gz	FASTQ	DNA	12472	2232285	20	179.0	276	168.0	188.0	202.0	0	191	63	94.31	83.74	22.68	52.76	0
SRR5098359.1.fastq.gz	FASTQ	DNA	72283	18952545	26	262.2	300	250.0	278.0	283.0	0	279	22	94.82	87.01	23.54	41.46	0
SRR5098359.2.fastq.gz	FASTQ	DNA	72283	13116164	20	181.5	300	169.0	185.0	198.0	0	187	67	94.21	83.10	22.35	41.09	0
SRR5098360.1.fastq.gz	FASTQ	DNA	55349	8137440	33	147.0	250	96.0	101.0	248.0	0	199	52	95.20	89.45	23.99	47.35	0
SRR5098360.2.fastq.gz	FASTQ	DNA	55349	6479385	20	117.1	250	79.0	83.0	160.0	0	134	117	95.01	87.49	23.72	50.33	0
SRR5098361.1.fastq.gz	FASTQ	DNA	21501	5467546	26	254.3	300	237.0	271.0	289.0	0	276	25	95.04	86.43	24.04	51.88	0
SRR5098361.2.fastq.gz	FASTQ	DNA	21501	3965901	21	184.5	273	176.0	193.0	206.0	0	195	60	94.94	85.04	23.00	49.78	0
SRR5098363.1.fastq.gz	FASTQ	DNA	124617	17729431	20	142.3	250	97.0	99.0	204.0	0	169	82	95.25	89.94	24.11	41.46	0
SRR5098363.2.fastq.gz	FASTQ	DNA	124617	14881274	20	119.4	250	83.0	83.0	126.0	0	106	145	96.57	91.13	25.33	45.72	0
SRR5098364.1.fastq.gz	FASTQ	DNA	37678	10306798	51	273.5	300	270.0	289.0	300.0	0	293	8	94.88	86.87	23.45	45.21	0
SRR5098364.2.fastq.gz	FASTQ	DNA	37678	7067412	20	187.6	295	180.0	193.0	205.0	0	195	91	92.42	81.01	21.75	45.27	0
SRR5098366.1.fastq.gz	FASTQ	DNA	44213	12213274	58	276.2	300	278.0	293.0	300.0	0	294	7	95.12	87.54	23.72	43.51	0
SRR5098366.2.fastq.gz	FASTQ	DNA	44213	8444513	20	191.0	300	184.0	195.0	207.0	0	197	94	92.28	80.89	21.72	42.82	0
SRR5098367.1.fastq.gz	FASTQ	DNA	87749	24292627	39	276.8	300	277.0	292.0	300.0	0	294	7	94.97	87.27	23.60	43.14	0
SRR5098367.2.fastq.gz	FASTQ	DNA	87749	16885405	20	192.4	300	184.0	195.0	209.0	0	197	102	92.27	80.93	21.72	42.47	0
SRR5098368.1.fastq.gz	FASTQ	DNA	14920	3891106	27	260.8	300	244.0	271.0	288.0	0	276	25	95.13	85.93	24.18	49.16	0
SRR5098368.2.fastq.gz	FASTQ	DNA	14920	2958765	21	198.3	285	181.0	200.0	221.0	0	205	77	95.11	84.95	23.18	47.78	0
SRR5098369.1.fastq.gz	FASTQ	DNA	26657	7494423	28	281.1	300	280.0	295.0	300.0	0	296	5	95.26	87.60	23.89	44.22	0
SRR5098369.2.fastq.gz	FASTQ	DNA	26657	5498688	20	206.3	300	190.0	213.0	234.0	0	219	81	92.57	81.32	21.85	44.71	0
SRR5098370.1.fastq.gz	FASTQ	DNA	102898	12731471	20	123.7	250	96.0	98.0	129.0	0	102	149	94.00	87.44	23.11	41.28	0
