"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098332",8,8,0,NA,NA,1.74070890505532,0.780601595051914,4.55791827764938,0.898957068242321
"SRR5098333",9,9,0,NA,NA,1.47731024417925,0.635099673764264,2.74047439287289,0.944787929550364
"SRR5098339",7,7,0,NA,NA,1.62230605298708,0.754889296038103,4.07978918846177,0.808658764021332
"SRR5098340",1,1,0,NA,NA,0,0,1,0.10789242999962
"SRR5098341",13,13,0,NA,NA,0.566172229492128,0.238229553240015,1.31273141962027,1.075630240529
"SRR5098343",18,18,0,NA,NA,2.16611988358405,0.83041829443131,5.89686249850189,1.75925337682162
"SRR5098346",8,8,0,NA,NA,1.63413880532149,0.750909822955346,4.01461033857121,0.761725976493252
"SRR5098348",3,3,0,NA,NA,1.08442565572873,0.656878491034402,2.91441945162424,0.294673833313111
"SRR5098349",8,8,0,NA,NA,1.24498287309852,0.583875321077538,2.40312591550556,0.748904078252909
"SRR5098351",12,12,0,NA,NA,1.00108962476484,0.491244058594498,1.9655790107087,1.05776981117679
"SRR5098354",7,7,0,NA,NA,1.84666457867047,0.826352813561512,5.75880335587375,0.930197027148087
"SRR5098355",3,3,0,3,0.816496580927726,0.724458716561438,0.48920341596008,1.95772648299826,0.408856660609735
"SRR5098356",10,10,0,NA,NA,0.865478896928991,0.335401807030285,1.5046685509805,1.08326053627928
"SRR5098357",6,6,0,NA,NA,1.51284377047825,0.750367206724137,4.00588395009034,0.624618389671962
"SRR5098359",5,5,0,NA,NA,0.0951908951272634,0.0306406291034459,1.0316091534506,0.414421551359793
"SRR5098360",14,14,0,NA,NA,2.20485299972653,0.842504725143117,6.34939683688104,1.6113579161739
"SRR5098361",3,3,0,NA,NA,0.484400435904838,0.24149402165054,1.31838117107006,0.266963308898363
"SRR5098363",17,17,0,NA,NA,2.30364843075606,0.864876765151712,7.40065171709934,2.47477565469263
"SRR5098364",8,8,0,NA,NA,0.894269125146312,0.380002788212706,1.61291047925402,0.740763662770632
"SRR5098366",10,10,0,NA,NA,0.733991298180098,0.356788318525916,1.55469813251564,0.931152720658787
"SRR5098367",14,14,0,NA,NA,0.628516454834359,0.276156503653731,1.38151410497943,1.25883750350807
"SRR5098368",4,4,0,NA,NA,1.03258159055719,0.584725043031906,2.40804311269083,0.378604257954408
"SRR5098369",14,14,0,NA,NA,1.52227990720596,0.688041349725566,3.20555304082861,1.4437987025701
"SRR5098370",6,6,0,NA,NA,1.23523574540219,0.610818853137325,2.56949754134122,0.763275315925701
"SRR5098371",19,19,0,NA,NA,1.19659911041935,0.590134924740987,2.43982730016226,1.63319507641707
