"","x"
"SRR5098332",6585
"SRR5098333",12953
"SRR5098339",4646
"SRR5098340",1143
"SRR5098341",190773
"SRR5098343",48848
"SRR5098346",27730
"SRR5098348",7771
"SRR5098349",32634
"SRR5098351",89391
"SRR5098354",1724
"SRR5098355",628
"SRR5098356",11062
"SRR5098357",9276
"SRR5098359",71939
"SRR5098360",9559
"SRR5098361",20283
"SRR5098363",2379
"SRR5098364",36300
"SRR5098366",42960
"SRR5098367",85097
"SRR5098368",14674
"SRR5098369",23479
"SRR5098370",1979
"SRR5098371",184272
"SRR5098372",17240
"SRR5098373",19327
"SRR5098374",7480
"SRR5098375",30368
"SRR5098376",14019
"SRR5098377",34180
"SRR5098378",28235
"SRR5098379",4103
"SRR5098380",290
"SRR5098382",3196
"SRR5098383",1290
"SRR5098384",77227
"SRR5098385",28988
"SRR5098386",14200
"SRR5098388",53773
"SRR5098389",46488
"SRR5098390",65640
"SRR5098392",26589
"SRR5098393",28296
"SRR5098394",101724
"SRR5098395",18732
"SRR5098396",26465
"SRR5098397",16502
"SRR5098398",165481
"SRR5098400",28624
"SRR5098401",111023
"SRR5098402",11444
"SRR5098403",82833
"SRR5098404",12362
"SRR5098406",52910
"SRR5098407",3128
"SRR5098408",2552
"SRR5098409",259969
"SRR5098410",16884
"SRR5098411",20903
"SRR5098413",103631
"SRR5098415",10642
"SRR5098416",4479
"SRR5098417",2161
"SRR5098420",12647
"SRR5098421",249822
"SRR5098423",2296
"SRR5098425",72721
"SRR5098426",21615
"SRR5098427",450
"SRR5098429",11470
"SRR5098430",18443
"SRR5098431",4981
"SRR5098432",5941
"SRR5098434",36877
"SRR5098435",22965
"SRR5098436",110919
"SRR5098438",23893
"SRR5098439",64130
"SRR5098440",41759
"SRR5098442",29487
"SRR5098443",43117
"SRR5098444",79690
"SRR5098445",2443
"SRR5098446",36374
"SRR5098447",65953
"SRR5098449",44638
"SRR5098450",50061
"SRR5098452",37366
"SRR5098453",19779
"SRR5098454",14353
"SRR5098456",23963
"SRR5098457",17206
"SRR5098458",63736
"SRR5098459",26757
"SRR5098460",25141
"SRR5098461",28336
"SRR5098465",3317
"SRR5098466",49892
"SRR5098467",29598
"SRR5098469",82262
"SRR5098470",12876
"SRR5098471",65388
"SRR5098473",7883
"SRR5098474",4130
"SRR5098475",16900
"SRR5098477",69157
"SRR5098478",51681
"SRR5098479",18346
"SRR5098481",24488
"SRR5098483",22026
"SRR5098484",14811
"SRR5098486",15469
"SRR5098487",25853
"SRR5098488",21699
"SRR5098489",101937
"SRR5098490",62295
"SRR5098491",13295
"SRR5098492",2849
"SRR5098493",17583
"SRR5098494",8767
"SRR5098495",10570
"SRR5098496",25274
"SRR5098498",129752
"SRR5098499",94288
"SRR5098500",103232
"SRR5098501",84738
"SRR5098502",3452
"SRR5098503",73594
"SRR5098504",3699
"SRR5098506",35684
"SRR5098507",36475
"SRR5098508",5301
"SRR5098510",14169
"SRR5098511",168
"SRR5098515",8811
"SRR5098516",12730
"SRR5098517",40700
"SRR5098518",6388
"SRR5098519",3622
"SRR5098520",34523
"SRR5098521",28382
"SRR5098522",1725
"SRR5098523",27327
"SRR5098524",20335
"SRR5098526",35765
"SRR5098527",33106
"SRR5098529",9448
"SRR5098531",5088
"SRR5098533",2040
"SRR5098534",50479
"SRR5098535",14038
"SRR5098536",20020
"SRR5098537",8255
"SRR5098538",2366
"SRR5098539",64498
"SRR5098540",19356
"SRR5098541",43601
"SRR5098542",5589
"SRR5098543",15004
"SRR5098544",16570
"SRR5098545",2736
"SRR5098546",10944
"SRR5098547",429
"SRR5098548",39253
"SRR5098551",5308
"SRR5098554",8037
"SRR5098555",14247
"SRR5098556",1142
"SRR5098557",19546
"SRR5098558",10466
"SRR5098559",54960
"SRR5098560",61428
"SRR5098561",16111
"SRR5098564",67722
"SRR5098565",42128
"SRR5098566",45967
"SRR5098568",34823
"SRR5098569",27412
"SRR5098571",38666
"SRR5098572",2539
"SRR5098573",20682
"SRR5098574",26759
"SRR5098575",31551
"SRR5098576",8013
"SRR5098577",12432
"SRR5098578",6384
"SRR5098579",23108
"SRR5098581",25541
"SRR5098582",64990
"SRR5098583",31880
"SRR5098584",20281
"SRR5098586",17429
"SRR5098588",12523
"SRR5098589",25624
"SRR5098590",15587
"SRR5098591",12290
"SRR5098592",2753
"SRR5098593",39444
"SRR5098594",4522
"SRR5098595",34902
"SRR5098596",13859
"SRR5098597",24919
"SRR5098598",48646
"SRR5098599",21198
"SRR5098600",39952
"SRR5098601",42012
"SRR5098602",53762
"SRR5098603",14107
"SRR5098604",45855
"SRR5098605",17398
"SRR5098606",1651
"SRR5098607",289989
"SRR5098609",6829
"SRR5098610",58143
"SRR5098611",14065
"SRR5098613",5493
