"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098332",8,8,0,NA,NA,1.74070890505532,0.780601595051914,4.55791827764938,0.898957068242321
"SRR5098333",6,6,0,NA,NA,1.03092112169863,0.491070011676857,1.96490681025669,0.613748655182585
"SRR5098339",6,6,0,NA,NA,1.47488725914683,0.723416580518798,3.61554572532128,0.685584838504958
"SRR5098340",1,1,0,NA,NA,0,0,1,0.10789242999962
"SRR5098341",6,6,0,NA,NA,0.0908537290954596,0.0269118391746211,1.02765611612394,0.469137996865069
"SRR5098343",13,13,0,NA,NA,1.86511158569693,0.780526852566575,4.5563660597857,1.24784073338476
"SRR5098346",7,7,0,NA,NA,1.55254364990613,0.737815408146582,3.81410666786658,0.659128659182587
"SRR5098348",3,3,0,NA,NA,1.08442565572873,0.656878491034402,2.91441945162424,0.294673833313111
"SRR5098349",7,7,0,NA,NA,1.13763626945224,0.556203729495874,2.25328617309934,0.648593609207038
"SRR5098351",11,11,0,NA,NA,0.926487255426506,0.472375916364438,1.8952887690599,0.963248613943167
"SRR5098354",4,4,0,NA,NA,1.28002145319207,0.698835381872772,3.32044317230368,0.518060428732862
"SRR5098355",3,3,0,3,0.816496580927726,0.724458716561438,0.48920341596008,1.95772648299826,0.408856660609735
"SRR5098356",4,4,0,NA,NA,0.311717896229385,0.125278732345941,1.1432213174397,0.396172607282131
"SRR5098357",4,4,0,NA,NA,1.30448112411886,0.713652322426791,3.49225811249799,0.401034654603359
"SRR5098359",4,4,0,NA,NA,0.0838781225812443,0.0276717182177239,1.02845923412513,0.3250700856933
"SRR5098360",4,4,0,NA,NA,1.14005966111548,0.665523075876611,2.98974287275824,0.516755877640617
"SRR5098361",3,3,0,NA,NA,0.484400435904838,0.24149402165054,1.31838117107006,0.266963308898363
"SRR5098363",9,9,0,NA,NA,1.65361214257773,0.709831367741709,3.44627188754799,1.4236339142436
"SRR5098364",7,7,0,NA,NA,0.863334207998381,0.372697080665515,1.59412616963574,0.639839565667732
"SRR5098366",8,8,0,NA,NA,0.679183584408469,0.343987732408233,1.52436173742759,0.72897878855071
"SRR5098367",11,11,0,NA,NA,0.592451507845117,0.268345857020284,1.36676599127482,0.966594435549751
"SRR5098368",4,4,0,NA,NA,1.03258159055719,0.584725043031906,2.40804311269083,0.378604257954408
"SRR5098369",12,12,0,NA,NA,1.43221374179859,0.672778947813003,3.05603809203733,1.21939016081937
"SRR5098370",2,2,0,NA,NA,0.555500019775937,0.368794961619723,1.58427125766626,0.227244906508012
"SRR5098371",16,16,0,NA,NA,1.17785814807342,0.587828573954916,2.42617497674528,1.35381690530609
"SRR5098372",6,6,0,NA,NA,0.860430555966382,0.382282397238256,1.61886272226842,0.594129976629401
"SRR5098373",9,9,0,NA,NA,1.63853664392938,0.741269240591002,3.86502170164938,0.920213069353297
"SRR5098374",9,9,0,NA,NA,1.19671225106563,0.505456966844242,2.02206872396693,1.01150182979187
"SRR5098375",5,5,0,NA,NA,0.586397622432774,0.275130461365703,1.37955859185926,0.452978772073398
