"","x"
"SRR5098332",6585
"SRR5098333",10805
"SRR5098339",4333
"SRR5098340",1143
"SRR5098341",168049
"SRR5098343",41747
"SRR5098346",26990
"SRR5098348",7771
"SRR5098349",31559
"SRR5098351",87749
"SRR5098354",1168
"SRR5098355",628
"SRR5098356",9611
"SRR5098357",8608
"SRR5098359",71829
"SRR5098360",1188
"SRR5098361",20283
"SRR5098363",791
"SRR5098364",36087
"SRR5098366",42537
"SRR5098367",84641
"SRR5098368",14674
"SRR5098369",22909
"SRR5098370",1509
"SRR5098371",183755
"SRR5098372",14445
"SRR5098373",16271
"SRR5098374",7398
"SRR5098375",28173
"SRR5098376",14019
"SRR5098377",14601
"SRR5098378",25806
"SRR5098379",4103
"SRR5098380",225
"SRR5098382",3196
"SRR5098383",1290
"SRR5098384",69105
"SRR5098385",28988
"SRR5098386",13976
"SRR5098388",40473
"SRR5098389",42672
"SRR5098390",8840
"SRR5098392",17527
"SRR5098393",12718
"SRR5098394",100515
"SRR5098395",18690
"SRR5098396",17415
"SRR5098397",15351
"SRR5098398",165481
"SRR5098400",28057
"SRR5098401",110561
"SRR5098402",6288
"SRR5098403",82443
"SRR5098404",10443
"SRR5098406",47019
"SRR5098407",2945
"SRR5098408",2552
"SRR5098409",241185
"SRR5098410",16628
"SRR5098411",5966
"SRR5098413",95015
"SRR5098415",8920
"SRR5098416",4479
"SRR5098417",2111
"SRR5098420",12647
"SRR5098421",189157
"SRR5098423",2296
"SRR5098425",72690
"SRR5098426",15943
"SRR5098427",450
"SRR5098429",10927
"SRR5098430",18443
"SRR5098431",3376
"SRR5098432",2747
"SRR5098434",35011
"SRR5098435",22943
"SRR5098436",110555
"SRR5098438",17515
"SRR5098439",64130
"SRR5098440",19586
"SRR5098442",24800
"SRR5098443",40152
"SRR5098444",2089
"SRR5098445",2443
"SRR5098446",25560
"SRR5098447",23764
"SRR5098449",44300
"SRR5098450",48660
"SRR5098452",1618
"SRR5098453",19268
"SRR5098454",11166
"SRR5098456",15501
"SRR5098457",15287
"SRR5098458",13609
"SRR5098459",23292
"SRR5098460",25141
