"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV95","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae"
"PRJNA356769_ITS2_ASV10","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Periconiaceae","g__Periconia",NA
"PRJNA356769_ITS2_ASV100","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Ploettnerulaceae","g__Cadophora","s__melinii"
"PRJNA356769_ITS2_ASV1000","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"PRJNA356769_ITS2_ASV1002","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__infirmominiatum"
"PRJNA356769_ITS2_ASV1004","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__servazzii"
"PRJNA356769_ITS2_ASV1006","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__metachromatica"
"PRJNA356769_ITS2_ASV1008","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__frigida"
"PRJNA356769_ITS2_ASV1009","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769_ITS2_ASV509","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769_ITS2_ASV1012","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__kluyveri"
"PRJNA356769_ITS2_ASV1014","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__floriforme"
"PRJNA356769_ITS2_ASV1015","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"PRJNA356769_ITS2_ASV1016","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Amphinema",NA
"PRJNA356769_ITS2_ASV1018","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__coffeae"
"PRJNA356769_ITS2_ASV1019","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Zygosaccharomyces","s__bisporus"
"PRJNA356769_ITS2_ASV1020","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__coffeae"
"PRJNA356769_ITS2_ASV665","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__sebi"
"PRJNA356769_ITS2_ASV1023","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__subaurantiacus"
"PRJNA356769_ITS2_ASV1024","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"PRJNA356769_ITS2_ASV1025","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Mycoacia","s__fuscoatra"
"PRJNA356769_ITS2_ASV1027","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Geotrichum","s__candidum"
"PRJNA356769_ITS2_ASV1028","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"PRJNA356769_ITS2_ASV1029","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae"
"PRJNA356769_ITS2_ASV1030","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia","s__picachoensis"
"PRJNA356769_ITS2_ASV1035","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Starmerella","s__magnoliae"
"PRJNA356769_ITS2_ASV1037","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellales_fam_Incertae_sedis","g__Phaeomoniellales_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV1038","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Zygosaccharomyces",NA
"PRJNA356769_ITS2_ASV1041","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Botryosphaeria","s__auasmontanum"
"PRJNA356769_ITS2_ASV562","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__mellicola"
"PRJNA356769_ITS2_ASV25","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Oligophagozyma","s__castellii"
"PRJNA356769_ITS2_ASV1045","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremaceae","g__Papiliotrema","s__frias"
"PRJNA356769_ITS2_ASV1047","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora","s__valbyensis"
"PRJNA356769_ITS2_ASV1048","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Brevicellicium","s__olivascens"
"PRJNA356769_ITS2_ASV1049","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__sake"
"PRJNA356769_ITS2_ASV1051","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__brocae"
"PRJNA356769_ITS2_ASV1052","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Microascaceae","g__Scopulariopsis","s__candida"
"PRJNA356769_ITS2_ASV1054","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Clavispora","s__lusitaniae"
"PRJNA356769_ITS2_ASV1055","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__oryzae"
"PRJNA356769_ITS2_ASV1057","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Chlamydosporiella","s__restricta"
"PRJNA356769_ITS2_ASV1058","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__agarici"
"PRJNA356769_ITS2_ASV106","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__restrictus"
"PRJNA356769_ITS2_ASV1060","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces",NA
"PRJNA356769_ITS2_ASV1062","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Metschnikowia","s__koreensis"
"PRJNA356769_ITS2_ASV1063","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Thermoascaceae","g__Paecilomyces","s__variotii"
"PRJNA356769_ITS2_ASV1065","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae",NA,NA
"PRJNA356769_ITS2_ASV1066","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Tilletiales","f__Erratomycetaceae","g__Erratomyces","s__patelii"
"PRJNA356769_ITS2_ASV1067","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Erysiphaceae",NA,NA
"PRJNA356769_ITS2_ASV1069","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae","g__Acremonium","s__fusidioides"
"PRJNA356769_ITS2_ASV107","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Debaryomycetaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV1073","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__macarangae"
"PRJNA356769_ITS2_ASV1076","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora","s__clermontiae"
"PRJNA356769_ITS2_ASV1077","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Lithohypha","s__aloicola"
"PRJNA356769_ITS2_ASV1078","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma","s__flava"
"PRJNA356769_ITS2_ASV1080","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__alternata"
"PRJNA356769_ITS2_ASV1081","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Candolleomyces","s__efflorescens"
"PRJNA356769_ITS2_ASV1082","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Nakaseomyces","s__nivariensis"
"PRJNA356769_ITS2_ASV1083","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"PRJNA356769_ITS2_ASV1085","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769_ITS2_ASV388","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__restricta"
"PRJNA356769_ITS2_ASV1089","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Cystostereaceae","g__Cystostereaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV1091","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Hortaea","s__werneckii"
"PRJNA356769_ITS2_ASV1092","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces","s__puniceus"
"PRJNA356769_ITS2_ASV1099","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__graminis"
"PRJNA356769_ITS2_ASV1102","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Veronaea","s__botryosa"
"PRJNA356769_ITS2_ASV1104","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Saturnispora","s__silvae"
"PRJNA356769_ITS2_ASV111","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__psychrophila"
"PRJNA356769_ITS2_ASV112","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Sarocladiaceae","g__Sarocladium","s__bifurcatum"
"PRJNA356769_ITS2_ASV113","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"PRJNA356769_ITS2_ASV114","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Hyphopichia","s__pseudoburtonii"
"PRJNA356769_ITS2_ASV117","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces","s__calidominioluteus"
"PRJNA356769_ITS2_ASV118","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__suhii"
"PRJNA356769_ITS2_ASV119","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces","s__sacchari"
"PRJNA356769_ITS2_ASV12","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__clavatophorus"
"PRJNA356769_ITS2_ASV124","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Limnoperdaceae","g__Limnoperdon",NA
"PRJNA356769_ITS2_ASV125","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__halophilicus"
"PRJNA356769_ITS2_ASV126","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__spencermartinsiae"
"PRJNA356769_ITS2_ASV128","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Yarrowia","s__divulgata"
"PRJNA356769_ITS2_ASV129","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera",NA
"PRJNA356769_ITS2_ASV13","k__Fungi","p__Mucoromycota","c__Mucoromycetes","o__Mucorales","f__Rhizopodaceae","g__Rhizopus","s__arrhizus"
"PRJNA356769_ITS2_ASV130","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Trichocomaceae","g__Talaromyces",NA
"PRJNA356769_ITS2_ASV132","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__globosa"
"PRJNA356769_ITS2_ASV133","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Lithohypha","s__aloicola"
"PRJNA356769_ITS2_ASV135","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Blastobotrys","s__niveus"
