"","x"
"SRR5098332",0
"SRR5098333",609
"SRR5098339",0
"SRR5098340",0
"SRR5098341",0
"SRR5098343",4848
"SRR5098346",0
"SRR5098348",0
"SRR5098349",0
"SRR5098351",0
"SRR5098354",0
"SRR5098355",0
"SRR5098356",0
"SRR5098357",0
"SRR5098359",0
"SRR5098360",0
"SRR5098361",0
"SRR5098363",0
"SRR5098364",0
"SRR5098366",0
"SRR5098367",0
"SRR5098368",0
"SRR5098369",0
"SRR5098370",0
"SRR5098371",0
"SRR5098372",2228
"SRR5098373",0
"SRR5098374",0
"SRR5098375",833
"SRR5098376",0
"SRR5098377",0
"SRR5098378",1130
"SRR5098379",0
"SRR5098380",0
"SRR5098382",0
"SRR5098383",0
"SRR5098384",0
"SRR5098385",0
"SRR5098386",0
"SRR5098388",0
"SRR5098389",179
"SRR5098390",0
"SRR5098392",0
"SRR5098393",263
"SRR5098394",109
"SRR5098395",0
"SRR5098396",0
"SRR5098397",0
"SRR5098398",0
"SRR5098400",567
"SRR5098401",0
"SRR5098402",0
"SRR5098403",238
"SRR5098404",0
"SRR5098406",2784
"SRR5098407",0
"SRR5098408",0
"SRR5098409",266
"SRR5098410",0
"SRR5098411",292
"SRR5098413",628
"SRR5098415",1585
"SRR5098416",0
"SRR5098417",50
"SRR5098420",0
"SRR5098421",203
"SRR5098423",0
"SRR5098425",0
"SRR5098426",3190
"SRR5098427",0
"SRR5098429",0
"SRR5098430",0
"SRR5098431",0
"SRR5098432",0
"SRR5098434",0
"SRR5098435",0
"SRR5098436",0
"SRR5098438",0
"SRR5098439",0
"SRR5098440",0
"SRR5098442",0
"SRR5098443",0
"SRR5098444",0
"SRR5098445",0
"SRR5098446",6115
"SRR5098447",0
"SRR5098449",0
"SRR5098450",0
"SRR5098452",0
"SRR5098453",0
"SRR5098454",92
"SRR5098456",3064
"SRR5098457",0
"SRR5098458",0
"SRR5098459",0
"SRR5098460",0
"SRR5098461",0
"SRR5098465",0
"SRR5098466",0
"SRR5098467",4144
"SRR5098469",0
"SRR5098470",198
"SRR5098471",468
"SRR5098473",0
"SRR5098474",629
"SRR5098475",0
