"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV1011","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta"
"PRJNA356769_ITS2_ASV1032","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Marasmius",NA
"PRJNA356769_ITS2_ASV1074","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__harzianum"
"PRJNA356769_ITS2_ASV1079","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__subtomentosum"
"PRJNA356769_ITS2_ASV1087","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma","s__australe"
"PRJNA356769_ITS2_ASV1093","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Hymenochaete","s__murina"
"PRJNA356769_ITS2_ASV1095","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Rhodocollybia","s__butyracea"
"PRJNA356769_ITS2_ASV134","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","s__abramsii"
"PRJNA356769_ITS2_ASV150","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__bicuspidatus"
"PRJNA356769_ITS2_ASV175","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__maydis"
"PRJNA356769_ITS2_ASV2","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Agaricus","s__bisporus"
"PRJNA356769_ITS2_ASV207","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Coriolopsis","s__strumosa"
"PRJNA356769_ITS2_ASV796","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__complicatum"
"PRJNA356769_ITS2_ASV254","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__hirsuta"
"PRJNA356769_ITS2_ASV266","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__cinerea"
"PRJNA356769_ITS2_ASV299","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__alkalinus"
"PRJNA356769_ITS2_ASV32","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Peniophorella",NA
"PRJNA356769_ITS2_ASV331","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Gymnopus","s__spongiosus"
"PRJNA356769_ITS2_ASV354","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__nunavutica"
"PRJNA356769_ITS2_ASV360","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Hydnoporia","s__corrugata"
"PRJNA356769_ITS2_ASV383","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__pleuroticola"
"PRJNA356769_ITS2_ASV395","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__complicatum"
"PRJNA356769_ITS2_ASV409","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Lentinula","s__lateritia"
"PRJNA356769_ITS2_ASV426","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae","g__Verpa",NA
"PRJNA356769_ITS2_ASV440","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Bondarzewiaceae","g__Heterobasidion","s__parviporum"
"PRJNA356769_ITS2_ASV441","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Perenniporia","s__subacida"
"PRJNA356769_ITS2_ASV447","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletinellaceae","g__Boletinellus","s__merulioides"
"PRJNA356769_ITS2_ASV476","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__raduloides"
"PRJNA356769_ITS2_ASV478","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__cubensis"
