"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"g__Verpa","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae","g__Verpa","g__Verpa"
"g__Trichoderma","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","g__Trichoderma"
"g__Ophiocordyceps","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Ophiocordyceps","g__Ophiocordyceps"
"g__Agaricus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Agaricus","g__Agaricus"
"g__Clitopilus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Clitopilus","g__Clitopilus"
"g__Hypsizygus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Lyophyllaceae","g__Hypsizygus","g__Hypsizygus"
"g__Marasmius","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Marasmius","g__Marasmius"
"g__Mycena","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","g__Mycena"
"g__Gymnopus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Gymnopus","g__Gymnopus"
"g__Lentinula","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Lentinula","g__Lentinula"
"g__Rhodocollybia","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Rhodocollybia","g__Rhodocollybia"
"g__Strobilurus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Physalacriaceae","g__Strobilurus","g__Strobilurus"
"g__Coprinellus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","g__Coprinellus"
"g__Schizophyllum","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Schizophyllaceae","g__Schizophyllum","g__Schizophyllum"
"g__Deconica","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Deconica","g__Deconica"
"g__Elmerina","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Auriculariaceae","g__Elmerina","g__Elmerina"
"g__Boletinellus","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletinellaceae","g__Boletinellus","g__Boletinellus"
