"","PRJNA356769_ITS2_ASV1003","PRJNA356769_ITS2_ASV1005","PRJNA356769_ITS2_ASV1007","PRJNA356769_ITS2_ASV1010","PRJNA356769_ITS2_ASV1013","PRJNA356769_ITS2_ASV1017","PRJNA356769_ITS2_ASV1050","PRJNA356769_ITS2_ASV1022","PRJNA356769_ITS2_ASV1026","PRJNA356769_ITS2_ASV103","PRJNA356769_ITS2_ASV1031","PRJNA356769_ITS2_ASV1034","PRJNA356769_ITS2_ASV244","PRJNA356769_ITS2_ASV104","PRJNA356769_ITS2_ASV1040","PRJNA356769_ITS2_ASV1042","PRJNA356769_ITS2_ASV1046","PRJNA356769_ITS2_ASV105","PRJNA356769_ITS2_ASV1053","PRJNA356769_ITS2_ASV1056","PRJNA356769_ITS2_ASV1061","PRJNA356769_ITS2_ASV1064","PRJNA356769_ITS2_ASV1068","PRJNA356769_ITS2_ASV1070","PRJNA356769_ITS2_ASV1072","PRJNA356769_ITS2_ASV108","PRJNA356769_ITS2_ASV1084","PRJNA356769_ITS2_ASV1088","PRJNA356769_ITS2_ASV1094","PRJNA356769_ITS2_ASV1096","PRJNA356769_ITS2_ASV1097","PRJNA356769_ITS2_ASV11","PRJNA356769_ITS2_ASV110","PRJNA356769_ITS2_ASV1100","PRJNA356769_ITS2_ASV1101","PRJNA356769_ITS2_ASV1103","PRJNA356769_ITS2_ASV116","PRJNA356769_ITS2_ASV949","PRJNA356769_ITS2_ASV121","PRJNA356769_ITS2_ASV131","PRJNA356769_ITS2_ASV14","PRJNA356769_ITS2_ASV353","PRJNA356769_ITS2_ASV143","PRJNA356769_ITS2_ASV152","PRJNA356769_ITS2_ASV156","PRJNA356769_ITS2_ASV163","PRJNA356769_ITS2_ASV174","PRJNA356769_ITS2_ASV177","PRJNA356769_ITS2_ASV180","PRJNA356769_ITS2_ASV181","PRJNA356769_ITS2_ASV186","PRJNA356769_ITS2_ASV190","PRJNA356769_ITS2_ASV191","PRJNA356769_ITS2_ASV193","PRJNA356769_ITS2_ASV195","PRJNA356769_ITS2_ASV201","PRJNA356769_ITS2_ASV205","PRJNA356769_ITS2_ASV208","PRJNA356769_ITS2_ASV209","PRJNA356769_ITS2_ASV216","PRJNA356769_ITS2_ASV224","PRJNA356769_ITS2_ASV227","PRJNA356769_ITS2_ASV241","PRJNA356769_ITS2_ASV242","PRJNA356769_ITS2_ASV247","PRJNA356769_ITS2_ASV248","PRJNA356769_ITS2_ASV529","PRJNA356769_ITS2_ASV256","PRJNA356769_ITS2_ASV264","PRJNA356769_ITS2_ASV267","PRJNA356769_ITS2_ASV270","PRJNA356769_ITS2_ASV272","PRJNA356769_ITS2_ASV278","PRJNA356769_ITS2_ASV281","PRJNA356769_ITS2_ASV282","PRJNA356769_ITS2_ASV284","PRJNA356769_ITS2_ASV297","PRJNA356769_ITS2_ASV298","PRJNA356769_ITS2_ASV301","PRJNA356769_ITS2_ASV302","PRJNA356769_ITS2_ASV309","PRJNA356769_ITS2_ASV311","PRJNA356769_ITS2_ASV314","PRJNA356769_ITS2_ASV316","PRJNA356769_ITS2_ASV34","PRJNA356769_ITS2_ASV341","PRJNA356769_ITS2_ASV343","PRJNA356769_ITS2_ASV348","PRJNA356769_ITS2_ASV355","PRJNA356769_ITS2_ASV357","PRJNA356769_ITS2_ASV359","PRJNA356769_ITS2_ASV366","PRJNA356769_ITS2_ASV370","PRJNA356769_ITS2_ASV38","PRJNA356769_ITS2_ASV786","PRJNA356769_ITS2_ASV410","PRJNA356769_ITS2_ASV418","PRJNA356769_ITS2_ASV420","PRJNA356769_ITS2_ASV423","PRJNA356769_ITS2_ASV434","PRJNA356769_ITS2_ASV44","PRJNA356769_ITS2_ASV443","PRJNA356769_ITS2_ASV466","PRJNA356769_ITS2_ASV467","PRJNA356769_ITS2_ASV925","PRJNA356769_ITS2_ASV479","PRJNA356769_ITS2_ASV480","PRJNA356769_ITS2_ASV482","PRJNA356769_ITS2_ASV483","PRJNA356769_ITS2_ASV486","PRJNA356769_ITS2_ASV505","PRJNA356769_ITS2_ASV51","PRJNA356769_ITS2_ASV531","PRJNA356769_ITS2_ASV536","PRJNA356769_ITS2_ASV539","PRJNA356769_ITS2_ASV545","PRJNA356769_ITS2_ASV55","PRJNA356769_ITS2_ASV550","PRJNA356769_ITS2_ASV561","PRJNA356769_ITS2_ASV57","PRJNA356769_ITS2_ASV575","PRJNA356769_ITS2_ASV579","PRJNA356769_ITS2_ASV58","PRJNA356769_ITS2_ASV582","PRJNA356769_ITS2_ASV59","PRJNA356769_ITS2_ASV60","PRJNA356769_ITS2_ASV607","PRJNA356769_ITS2_ASV61","PRJNA356769_ITS2_ASV612","PRJNA356769_ITS2_ASV628","PRJNA356769_ITS2_ASV633","PRJNA356769_ITS2_ASV635","PRJNA356769_ITS2_ASV644","PRJNA356769_ITS2_ASV646","PRJNA356769_ITS2_ASV66","PRJNA356769_ITS2_ASV691","PRJNA356769_ITS2_ASV696","PRJNA356769_ITS2_ASV728","PRJNA356769_ITS2_ASV743","PRJNA356769_ITS2_ASV746","PRJNA356769_ITS2_ASV75","PRJNA356769_ITS2_ASV750","PRJNA356769_ITS2_ASV756","PRJNA356769_ITS2_ASV78","PRJNA356769_ITS2_ASV787","PRJNA356769_ITS2_ASV788","PRJNA356769_ITS2_ASV79","PRJNA356769_ITS2_ASV790","PRJNA356769_ITS2_ASV8","PRJNA356769_ITS2_ASV816","PRJNA356769_ITS2_ASV819","PRJNA356769_ITS2_ASV833","PRJNA356769_ITS2_ASV844","PRJNA356769_ITS2_ASV848","PRJNA356769_ITS2_ASV86","PRJNA356769_ITS2_ASV862","PRJNA356769_ITS2_ASV870","PRJNA356769_ITS2_ASV875","PRJNA356769_ITS2_ASV876","PRJNA356769_ITS2_ASV878","PRJNA356769_ITS2_ASV884","PRJNA356769_ITS2_ASV898","PRJNA356769_ITS2_ASV901","PRJNA356769_ITS2_ASV903","PRJNA356769_ITS2_ASV912","PRJNA356769_ITS2_ASV918","PRJNA356769_ITS2_ASV92","PRJNA356769_ITS2_ASV923","PRJNA356769_ITS2_ASV926","PRJNA356769_ITS2_ASV928","PRJNA356769_ITS2_ASV950","PRJNA356769_ITS2_ASV957","PRJNA356769_ITS2_ASV967","PRJNA356769_ITS2_ASV97","PRJNA356769_ITS2_ASV974","PRJNA356769_ITS2_ASV98","PRJNA356769_ITS2_ASV994","PRJNA356769_ITS2_ASV997"
"SRR5098332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098333",0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0
"SRR5098340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098341",0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,5159,0,0,2157,0,0,0,0,0,0,0,0,172,0,0,0,0,14567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098343",0,0,0,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
