"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769_ITS2_ASV1003","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Chenopodium","s__acerifolium"
"PRJNA356769_ITS2_ASV1005","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","s__vulgaris"
"PRJNA356769_ITS2_ASV1007","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV1010","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Simsia","s__annectens"
"PRJNA356769_ITS2_ASV1013","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
"PRJNA356769_ITS2_ASV1017","k__Viridiplantae","p__Chlorophyta","c__Chlorophyceae","o__Sphaeropleales","f__Scenedesmaceae","g__Desmodesmus","s__ultrasquamatus"
"PRJNA356769_ITS2_ASV1050","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__rhamnifolius"
"PRJNA356769_ITS2_ASV1022","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Ipomoea","s__lactifera"
"PRJNA356769_ITS2_ASV1026","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV103","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769_ITS2_ASV1031","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Myrtaceae","g__Eucalyptus",NA
"PRJNA356769_ITS2_ASV1034","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769_ITS2_ASV244","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanaceae_gen_Incertae_sedis",NA
"PRJNA356769_ITS2_ASV104","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Lens","s__culinaris"
"PRJNA356769_ITS2_ASV1040","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","s__parvifolius"
"PRJNA356769_ITS2_ASV1042","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Trifolium","s__subsp._petrisavii"
"PRJNA356769_ITS2_ASV1046","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Triticum","s__aestivum"
"PRJNA356769_ITS2_ASV105","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__melo"
"PRJNA356769_ITS2_ASV1053","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","s__sativus"
"PRJNA356769_ITS2_ASV1056","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Asparagaceae","g__Asparagus","s__persicus"
