"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"g__Anthophyta_gen_Incertae_sedis","k__Viridiplantae","p__Anthophyta","c__Anthophyta_cls_Incertae_sedis","o__Anthophyta_ord_Incertae_sedis","f__Anthophyta_fam_Incertae_sedis","g__Anthophyta_gen_Incertae_sedis","g__Anthophyta_gen_Incertae_sedis"
"g__Anethum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Anethum","g__Anethum"
"g__Apium","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Apium","g__Apium"
"g__Carum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Carum","g__Carum"
"g__Coriandrum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Coriandrum","g__Coriandrum"
"g__Cuminum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Cuminum","g__Cuminum"
"g__Cyclospermum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Cyclospermum","g__Cyclospermum"
"g__Daucus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Daucus","g__Daucus"
"g__Petroselinum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Petroselinum","g__Petroselinum"
"g__Pimpinella","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Pimpinella","g__Pimpinella"
"g__Rutheopsis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Rutheopsis","g__Rutheopsis"
"g__Ambrosia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Ambrosia","g__Ambrosia"
"g__Arnoseris","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Arnoseris","g__Arnoseris"
"g__Calyptocarpus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Calyptocarpus","g__Calyptocarpus"
"g__Erigeron","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Erigeron","g__Erigeron"
"g__Lactuca","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Lactuca","g__Lactuca"
"g__Simsia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Simsia","g__Simsia"
"g__Brassica","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","g__Brassica"
"g__Cardamine","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Cardamine","g__Cardamine"
"g__Diplotaxis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Diplotaxis","g__Diplotaxis"
"g__Eruca","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Eruca","g__Eruca"
"g__Raphanus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Raphanus","g__Raphanus"
"g__Sinapis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Sinapis","g__Sinapis"
"g__Amaranthus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Amaranthus","g__Amaranthus"
"g__Bassia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Bassia","g__Bassia"
