file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098354.1.fastq.gz	FASTQ	DNA	66851	12549235	20	187.7	250	97.0	249.0	250.0	0	250	1	97.09	93.40	26.04	43.45	0
SRR5098354.2.fastq.gz	FASTQ	DNA	66851	10450167	20	156.3	250	78.0	193.0	217.0	0	207	44	95.57	88.02	24.07	43.47	0
SRR5098355.1.fastq.gz	FASTQ	DNA	33618	5922138	35	176.2	250	97.0	200.0	250.0	0	250	1	96.55	92.25	25.42	42.58	0
SRR5098355.2.fastq.gz	FASTQ	DNA	33618	4924080	20	146.5	250	82.0	125.0	211.0	0	205	46	95.75	88.84	24.29	42.80	0
SRR5098356.1.fastq.gz	FASTQ	DNA	12210	2950256	74	241.6	250	250.0	250.0	250.0	0	250	1	98.76	96.39	29.31	45.44	0
SRR5098356.2.fastq.gz	FASTQ	DNA	12210	2441955	20	200.0	250	194.0	205.0	219.0	0	207	44	94.55	84.92	23.09	44.08	0
SRR5098360.1.fastq.gz	FASTQ	DNA	55349	8137440	33	147.0	250	96.0	101.0	248.0	0	199	52	95.20	89.45	23.99	47.35	0
SRR5098360.2.fastq.gz	FASTQ	DNA	55349	6479385	20	117.1	250	79.0	83.0	160.0	0	134	117	95.01	87.49	23.72	50.33	0
SRR5098363.1.fastq.gz	FASTQ	DNA	124617	17729431	20	142.3	250	97.0	99.0	204.0	0	169	82	95.25	89.94	24.11	41.46	0
SRR5098363.2.fastq.gz	FASTQ	DNA	124617	14881274	20	119.4	250	83.0	83.0	126.0	0	106	145	96.57	91.13	25.33	45.72	0
SRR5098370.1.fastq.gz	FASTQ	DNA	102898	12731471	20	123.7	250	96.0	98.0	129.0	0	102	149	94.00	87.44	23.11	41.28	0
SRR5098370.2.fastq.gz	FASTQ	DNA	102898	10116108	20	98.3	250	83.0	83.0	85.0	0	83	168	96.54	91.96	25.33	46.60	0
SRR5098404.1.fastq.gz	FASTQ	DNA	23832	4981840	30	209.0	250	157.0	249.0	250.0	0	249	2	97.38	93.05	26.35	54.46	0
SRR5098404.2.fastq.gz	FASTQ	DNA	23832	4145014	20	173.9	250	94.0	193.0	231.0	0	216	35	93.39	82.83	22.56	55.82	0
SRR5098423.1.fastq.gz	FASTQ	DNA	8009	1395152	24	174.2	250	97.0	188.0	250.0	0	249	2	96.69	92.37	25.54	47.63	0
SRR5098423.2.fastq.gz	FASTQ	DNA	8009	1184972	22	148.0	250	83.0	108.0	227.0	0	215	36	95.59	88.13	24.41	50.06	0
SRR5098440.1.fastq.gz	FASTQ	DNA	66426	14830059	31	223.3	250	248.0	250.0	250.0	0	250	1	98.19	95.12	27.84	53.44	0
SRR5098440.2.fastq.gz	FASTQ	DNA	66426	12526673	20	188.6	250	166.0	205.0	235.0	0	220	31	93.52	82.97	22.61	53.67	0
SRR5098470.1.fastq.gz	FASTQ	DNA	31537	5415256	36	171.7	250	97.0	172.0	250.0	0	250	1	96.03	90.64	24.69	52.22	0
SRR5098470.2.fastq.gz	FASTQ	DNA	31537	4389581	22	139.2	250	81.0	102.0	213.0	0	193	58	93.79	84.13	22.84	55.18	0
SRR5098474.1.fastq.gz	FASTQ	DNA	25397	5874016	39	231.3	250	249.0	250.0	250.0	0	250	1	98.30	95.33	28.14	50.54	0
SRR5098474.2.fastq.gz	FASTQ	DNA	25397	5118086	20	201.5	250	181.0	224.0	245.0	0	232	19	94.15	83.93	23.09	51.92	0
SRR5098491.1.fastq.gz	FASTQ	DNA	50784	11865329	20	233.6	250	249.0	250.0	250.0	0	250	1	98.30	95.41	28.14	48.56	0
SRR5098491.2.fastq.gz	FASTQ	DNA	50784	10616913	20	209.1	250	197.0	231.0	246.0	0	236	15	94.78	85.34	23.56	49.37	0
SRR5098511.1.fastq.gz	FASTQ	DNA	138863	16643572	20	119.9	250	96.0	98.0	119.0	0	100	151	93.50	86.58	22.79	39.93	0
SRR5098511.2.fastq.gz	FASTQ	DNA	138863	13019108	20	93.8	250	83.0	83.0	83.0	0	83	168	96.67	92.65	25.47	45.09	0
SRR5098515.1.fastq.gz	FASTQ	DNA	25465	5837700	38	229.2	250	248.0	250.0	250.0	0	250	1	98.34	95.42	28.18	48.03	0
SRR5098515.2.fastq.gz	FASTQ	DNA	25465	4936525	20	193.9	250	186.0	206.0	231.0	0	214	37	94.86	85.82	23.49	47.27	0
SRR5098524.1.fastq.gz	FASTQ	DNA	53974	10085130	23	186.9	250	98.0	248.0	250.0	0	250	1	97.06	93.03	26.00	49.15	0
SRR5098524.2.fastq.gz	FASTQ	DNA	53974	8581572	20	159.0	250	83.0	175.0	230.0	0	216	35	94.61	85.90	23.51	51.28	0
