file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098354.1.fastq.gz	FASTQ	DNA	68899	17224750	250	250.0	250	250.0	250.0	250.0	0	250	1	73.08	70.16	8.03	41.29	4
SRR5098354.2.fastq.gz	FASTQ	DNA	68899	17224750	250	250.0	250	250.0	250.0	250.0	0	250	1	59.66	54.85	6.22	43.82	6537
SRR5098355.1.fastq.gz	FASTQ	DNA	34516	8629000	250	250.0	250	250.0	250.0	250.0	0	250	1	68.46	65.29	7.33	40.48	0
SRR5098355.2.fastq.gz	FASTQ	DNA	34516	8629000	250	250.0	250	250.0	250.0	250.0	0	250	1	56.40	52.21	5.84	43.39	2345
SRR5098356.1.fastq.gz	FASTQ	DNA	12577	3144250	250	250.0	250	250.0	250.0	250.0	0	250	1	95.16	92.73	16.29	45.24	1
SRR5098356.2.fastq.gz	FASTQ	DNA	12577	3144250	250	250.0	250	250.0	250.0	250.0	0	250	1	75.24	67.51	8.79	44.91	1147
SRR5098360.1.fastq.gz	FASTQ	DNA	57821	14455250	250	250.0	250	250.0	250.0	250.0	0	250	1	56.92	53.40	5.92	42.09	1
SRR5098360.2.fastq.gz	FASTQ	DNA	57821	14455250	250	250.0	250	250.0	250.0	250.0	0	250	1	45.10	41.42	4.78	47.78	4984
SRR5098363.1.fastq.gz	FASTQ	DNA	127721	31930250	250	250.0	250	250.0	250.0	250.0	0	250	1	54.91	51.74	5.70	38.70	23
SRR5098363.2.fastq.gz	FASTQ	DNA	127721	31930250	250	250.0	250	250.0	250.0	250.0	0	250	1	46.67	43.92	4.86	44.52	9100
SRR5098370.1.fastq.gz	FASTQ	DNA	106486	26621500	250	250.0	250	250.0	250.0	250.0	0	250	1	47.75	44.38	5.05	37.95	29
SRR5098370.2.fastq.gz	FASTQ	DNA	106486	26621500	250	250.0	250	250.0	250.0	250.0	0	250	1	38.98	36.98	4.24	44.67	6773
SRR5098404.1.fastq.gz	FASTQ	DNA	25911	6477750	250	250.0	250	250.0	250.0	250.0	0	250	1	80.24	76.53	9.49	50.95	0
SRR5098404.2.fastq.gz	FASTQ	DNA	25911	6477750	250	250.0	250	250.0	250.0	250.0	0	250	1	63.09	55.88	6.82	54.50	2614
SRR5098423.1.fastq.gz	FASTQ	DNA	8301	2075250	250	250.0	250	250.0	250.0	250.0	0	250	1	67.24	64.12	7.13	43.83	2
SRR5098423.2.fastq.gz	FASTQ	DNA	8301	2075250	250	250.0	250	250.0	250.0	250.0	0	250	1	55.88	51.41	5.79	48.26	245
SRR5098440.1.fastq.gz	FASTQ	DNA	68089	17022250	250	250.0	250	250.0	250.0	250.0	0	250	1	87.57	84.65	11.63	51.62	0
SRR5098440.2.fastq.gz	FASTQ	DNA	68089	17022250	250	250.0	250	250.0	250.0	250.0	0	250	1	70.30	62.30	7.96	53.70	6394
SRR5098470.1.fastq.gz	FASTQ	DNA	32625	8156250	250	250.0	250	250.0	250.0	250.0	0	250	1	66.61	62.78	7.10	47.12	15
SRR5098470.2.fastq.gz	FASTQ	DNA	32625	8156250	250	250.0	250	250.0	250.0	250.0	0	250	1	52.87	47.38	5.56	52.09	2727
SRR5098474.1.fastq.gz	FASTQ	DNA	26054	6513500	250	250.0	250	250.0	250.0	250.0	0	250	1	90.59	87.73	13.00	49.52	2
SRR5098474.2.fastq.gz	FASTQ	DNA	26054	6513500	250	250.0	250	250.0	250.0	250.0	0	250	1	75.28	67.04	8.87	52.18	2845
SRR5098491.1.fastq.gz	FASTQ	DNA	52083	13020750	250	250.0	250	250.0	250.0	250.0	0	250	1	91.56	88.70	13.59	47.78	1
SRR5098491.2.fastq.gz	FASTQ	DNA	52083	13020750	250	250.0	250	250.0	250.0	250.0	0	250	1	78.71	70.76	9.60	49.76	5051
