"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769a_ITS2_ASV112","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"PRJNA356769a_ITS2_ASV76","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae"
"PRJNA356769a_ITS2_ASV123","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__infirmominiatum"
"PRJNA356769a_ITS2_ASV192","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Cutaneotrichosporon","s__middelhovenii"
"PRJNA356769a_ITS2_ASV126","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769a_ITS2_ASV73","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769a_ITS2_ASV125","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__arunalokei"
"PRJNA356769a_ITS2_ASV184","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769a_ITS2_ASV127","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Petroselinum","s__crispum"
"PRJNA356769a_ITS2_ASV38","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__subtomentosum"
"PRJNA356769a_ITS2_ASV164","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__versicolor"
"PRJNA356769a_ITS2_ASV136","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Jaminaea","s__pallidilutea"
"PRJNA356769a_ITS2_ASV17","k__Fungi","p__Basidiomycota","c__Wallemiomycetes","o__Wallemiales","f__Wallemiaceae","g__Wallemia","s__sebi"
"PRJNA356769a_ITS2_ASV165","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Trebouxiales","f__Trebouxiaceae","g__Trebouxia",NA
"PRJNA356769a_ITS2_ASV65","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"PRJNA356769a_ITS2_ASV155","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Metschnikowiaceae","g__Clavispora","s__lusitaniae"
"PRJNA356769a_ITS2_ASV95","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Pimpinella","s__olivieri"
"PRJNA356769a_ITS2_ASV78","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Lythraceae","g__Punica","s__granatum"
"PRJNA356769a_ITS2_ASV121","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","s__indicum"
"PRJNA356769a_ITS2_ASV13","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","s__huayavillense"
"PRJNA356769a_ITS2_ASV9","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Convolvulus","s__arvensis"
