"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098354",7,7,0,NA,NA,1.84666457867047,0.826352813561512,5.75880335587375,0.930197027148087
"SRR5098355",4,4,0,4,0.866025403784439,0.943454819678519,0.544714883542722,2.19642585240064,0.493336060874555
"SRR5098356",10,10,0,NA,NA,0.83146459647624,0.3162153604027,1.46244876250646,1.08529040166438
"SRR5098360",13,13,0,NA,NA,2.11441522107336,0.833308083559608,5.99909114583606,1.48156920712465
"SRR5098363",17,17,0,NA,NA,2.30098122902535,0.864364804745428,7.37271766463792,2.47459868200648
"SRR5098370",6,6,0,NA,NA,1.23546095924346,0.611023875114784,2.57085187502213,0.763219143245071
"SRR5098404",10,10,0,NA,NA,1.72447585890306,0.725260719337625,3.63981443639612,1.06888726181581
"SRR5098423",4,4,0,NA,NA,1.37891494901891,0.74617308999745,3.93969260386913,0.47103436627194
"SRR5098440",17,17,0,NA,NA,1.79790373570883,0.74430485150804,3.9109072107852,1.67918945108584
"SRR5098470",6,6,0,NA,NA,1.18016550579555,0.62195396375051,2.64518049156335,0.599900726881199
"SRR5098474",6,6,0,6,0.912870929175277,1.31847205574681,0.654900011139187,2.89771090199404,0.689855994967331
"SRR5098491",23,23,0,23,0.978019293843651,2.58719042227921,0.898487165235946,9.85097108483174,2.7058862668338
"SRR5098511",5,5,0,NA,NA,1.50572377239617,0.755995938517559,4.09829243793945,0.967340541188376
"SRR5098515",14,14,0,NA,NA,2.21891466264889,0.868928063885153,7.62939824985714,1.62860267533688
"SRR5098524",14,14,0,NA,NA,1.62747375157916,0.649373366291161,2.85203662203939,1.46805524295907
"SRR5098533",3,3,0,NA,NA,1.05986045747418,0.642375640381489,2.79623010319188,0.34545291132224
"SRR5098555",5,5,0,NA,NA,0.818076276494742,0.376422198844101,1.60364913270861,0.486121682754647
"SRR5098588",10,10,0,NA,NA,1.21134818888967,0.511737068615307,2.0480768367241,1.06716301167619
"SRR5098686",7,7,0,NA,NA,1.30328659963303,0.630871847101479,2.70908624050389,0.704433815946943
"SRR5098703",8,8,0,NA,NA,1.74607633120573,0.792179312771863,4.81184050220295,0.887844375597813
"SRR5098712",20,20,0,NA,NA,1.82227449977837,0.748802117933622,3.98092528397893,1.98951267181523
"SRR5098725",3,3,0,NA,NA,0.988072705789736,0.595167941764097,2.47016010628606,0.349164272442167
"SRR5098735",14,14,0,NA,NA,0.37583992616558,0.120945050341534,1.1375853129415,1.46861439150479
"SRR5098741",6,6,0,6,0.912870929175277,0.776646661616234,0.348022583712441,1.53379545827542,0.716970113550797
"SRR5098748",13,13,0,NA,NA,0.240271455910011,0.0715647880567235,1.07708107914922,1.21744249023155
