"","PRJNA356769a_ITS2_ASV1","PRJNA356769a_ITS2_ASV10","PRJNA356769a_ITS2_ASV100","PRJNA356769a_ITS2_ASV101","PRJNA356769a_ITS2_ASV102","PRJNA356769a_ITS2_ASV103","PRJNA356769a_ITS2_ASV104","PRJNA356769a_ITS2_ASV21","PRJNA356769a_ITS2_ASV106","PRJNA356769a_ITS2_ASV107","PRJNA356769a_ITS2_ASV108","PRJNA356769a_ITS2_ASV109","PRJNA356769a_ITS2_ASV11","PRJNA356769a_ITS2_ASV110","PRJNA356769a_ITS2_ASV111","PRJNA356769a_ITS2_ASV112","PRJNA356769a_ITS2_ASV113","PRJNA356769a_ITS2_ASV114","PRJNA356769a_ITS2_ASV115","PRJNA356769a_ITS2_ASV116","PRJNA356769a_ITS2_ASV117","PRJNA356769a_ITS2_ASV118","PRJNA356769a_ITS2_ASV119","PRJNA356769a_ITS2_ASV12","PRJNA356769a_ITS2_ASV120","PRJNA356769a_ITS2_ASV121","PRJNA356769a_ITS2_ASV122","PRJNA356769a_ITS2_ASV123","PRJNA356769a_ITS2_ASV124","PRJNA356769a_ITS2_ASV125","PRJNA356769a_ITS2_ASV126","PRJNA356769a_ITS2_ASV127","PRJNA356769a_ITS2_ASV128","PRJNA356769a_ITS2_ASV129","PRJNA356769a_ITS2_ASV13","PRJNA356769a_ITS2_ASV131","PRJNA356769a_ITS2_ASV132","PRJNA356769a_ITS2_ASV133","PRJNA356769a_ITS2_ASV134","PRJNA356769a_ITS2_ASV135","PRJNA356769a_ITS2_ASV136","PRJNA356769a_ITS2_ASV137","PRJNA356769a_ITS2_ASV138","PRJNA356769a_ITS2_ASV139","PRJNA356769a_ITS2_ASV157","PRJNA356769a_ITS2_ASV140","PRJNA356769a_ITS2_ASV141","PRJNA356769a_ITS2_ASV142","PRJNA356769a_ITS2_ASV143","PRJNA356769a_ITS2_ASV144","PRJNA356769a_ITS2_ASV145","PRJNA356769a_ITS2_ASV146","PRJNA356769a_ITS2_ASV147","PRJNA356769a_ITS2_ASV15","PRJNA356769a_ITS2_ASV151","PRJNA356769a_ITS2_ASV152","PRJNA356769a_ITS2_ASV155","PRJNA356769a_ITS2_ASV156","PRJNA356769a_ITS2_ASV159","PRJNA356769a_ITS2_ASV16","PRJNA356769a_ITS2_ASV160","PRJNA356769a_ITS2_ASV161","PRJNA356769a_ITS2_ASV162","PRJNA356769a_ITS2_ASV163","PRJNA356769a_ITS2_ASV164","PRJNA356769a_ITS2_ASV165","PRJNA356769a_ITS2_ASV166","PRJNA356769a_ITS2_ASV167","PRJNA356769a_ITS2_ASV168","PRJNA356769a_ITS2_ASV169","PRJNA356769a_ITS2_ASV17","PRJNA356769a_ITS2_ASV171","PRJNA356769a_ITS2_ASV173","PRJNA356769a_ITS2_ASV82","PRJNA356769a_ITS2_ASV175","PRJNA356769a_ITS2_ASV176","PRJNA356769a_ITS2_ASV177","PRJNA356769a_ITS2_ASV18","PRJNA356769a_ITS2_ASV180","PRJNA356769a_ITS2_ASV181","PRJNA356769a_ITS2_ASV182","PRJNA356769a_ITS2_ASV183","PRJNA356769a_ITS2_ASV184","PRJNA356769a_ITS2_ASV185","PRJNA356769a_ITS2_ASV186","PRJNA356769a_ITS2_ASV187","PRJNA356769a_ITS2_ASV188","PRJNA356769a_ITS2_ASV55","PRJNA356769a_ITS2_ASV19","PRJNA356769a_ITS2_ASV191","PRJNA356769a_ITS2_ASV192","PRJNA356769a_ITS2_ASV194","PRJNA356769a_ITS2_ASV195","PRJNA356769a_ITS2_ASV2","PRJNA356769a_ITS2_ASV20","PRJNA356769a_ITS2_ASV22","PRJNA356769a_ITS2_ASV24","PRJNA356769a_ITS2_ASV27","PRJNA356769a_ITS2_ASV28","PRJNA356769a_ITS2_ASV29","PRJNA356769a_ITS2_ASV3","PRJNA356769a_ITS2_ASV30","PRJNA356769a_ITS2_ASV32","PRJNA356769a_ITS2_ASV33","PRJNA356769a_ITS2_ASV37","PRJNA356769a_ITS2_ASV38","PRJNA356769a_ITS2_ASV39","PRJNA356769a_ITS2_ASV4","PRJNA356769a_ITS2_ASV41","PRJNA356769a_ITS2_ASV42","PRJNA356769a_ITS2_ASV46","PRJNA356769a_ITS2_ASV47","PRJNA356769a_ITS2_ASV5","PRJNA356769a_ITS2_ASV51","PRJNA356769a_ITS2_ASV52","PRJNA356769a_ITS2_ASV54","PRJNA356769a_ITS2_ASV58","PRJNA356769a_ITS2_ASV59","PRJNA356769a_ITS2_ASV6","PRJNA356769a_ITS2_ASV60","PRJNA356769a_ITS2_ASV63","PRJNA356769a_ITS2_ASV64","PRJNA356769a_ITS2_ASV65","PRJNA356769a_ITS2_ASV66","PRJNA356769a_ITS2_ASV69","PRJNA356769a_ITS2_ASV7","PRJNA356769a_ITS2_ASV70","PRJNA356769a_ITS2_ASV71","PRJNA356769a_ITS2_ASV73","PRJNA356769a_ITS2_ASV75","PRJNA356769a_ITS2_ASV76","PRJNA356769a_ITS2_ASV78","PRJNA356769a_ITS2_ASV8","PRJNA356769a_ITS2_ASV83","PRJNA356769a_ITS2_ASV86","PRJNA356769a_ITS2_ASV87","PRJNA356769a_ITS2_ASV88","PRJNA356769a_ITS2_ASV9","PRJNA356769a_ITS2_ASV91","PRJNA356769a_ITS2_ASV93","PRJNA356769a_ITS2_ASV95","PRJNA356769a_ITS2_ASV96","PRJNA356769a_ITS2_ASV98","PRJNA356769a_ITS2_ASV99"
"SRR5098354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,203,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098356",0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,8980,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,150,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,293,0,16,1326,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,474,0,298,0,0,0,0,0,0,391,0,403,0,1613,0,0,0,0,0,0,3057,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098363",0,0,0,0,0,0,0,256,54,0,0,0,0,55,0,51,0,48,0,0,0,0,36,0,36,35,31,0,0,0,0,0,22,0,0,0,0,0,0,0,0,32,0,0,390,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,51,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098404",0,5898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,544,0,0,0,0,0,2002,0,0,0,0,0,0,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,651,0
"SRR5098423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,694,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098440",0,0,0,0,0,0,0,0,14507,0,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,88,0,0,0,0,0,69,0,0,0,0,0,0,14796,0,0,0,0,0,0,0,0,0,816,0,0,0,0,0,0,650,0,0,0,0,0,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,1386,828,0,0,0,0,0,0,0,2562,0,0,0,0,0,0,0,0,0,0,0,964,0,0,0,0,0,2376,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0
"SRR5098470",198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,6986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801,0,0,0,0
