"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098354",4,4,0,NA,NA,1.28002145319207,0.698835381872772,3.32044317230368,0.518060428732862
"SRR5098355",4,4,0,4,0.866025403784439,0.943454819678519,0.544714883542722,2.19642585240064,0.493336060874555
"SRR5098356",4,4,0,NA,NA,0.311397003131856,0.125114562384336,1.14300679495285,0.396181670918728
"SRR5098360",4,4,0,NA,NA,1.14005966111548,0.665523075876611,2.98974287275824,0.516755877640617
"SRR5098363",9,9,0,NA,NA,1.65241953409234,0.709321752882359,3.44022991027357,1.42329673688417
"SRR5098370",2,2,0,NA,NA,0.556065975607922,0.369307486513749,1.58555869717296,0.227225613712744
"SRR5098404",8,8,0,NA,NA,1.41259971130818,0.633609194726816,2.72932613375598,0.849582236093033
"SRR5098423",4,4,0,NA,NA,1.37891494901891,0.74617308999745,3.93969260386913,0.47103436627194
"SRR5098440",6,6,0,NA,NA,0.886747571196338,0.413352400691477,1.70460085608241,0.574731221658772
"SRR5098470",2,2,0,NA,NA,0.630518379216872,0.438689999745808,1.78154673807191,0.195036432006051
"SRR5098474",3,3,0,NA,NA,1.02301815857952,0.617851457012296,2.61678349518704,0.367597420238151
"SRR5098491",10,10,0,NA,NA,1.78742555174945,0.776663649073204,4.4775514413584,1.15151614708446
"SRR5098511",2,2,0,NA,NA,0.676035496166787,0.482986143840136,1.93418413855971,0.351979716706895
"SRR5098515",8,8,0,NA,NA,1.80616189707518,0.810760528911586,5.28430984428609,0.929215890097764
"SRR5098524",10,10,0,NA,NA,1.99591661304382,0.832619806136334,5.97442252226399,1.13240987050581
"SRR5098533",2,2,0,NA,NA,0.657575837344941,0.464852474219237,1.86864360167046,0.234842176667137
"SRR5098555",4,4,0,NA,NA,0.668349187167527,0.320543409458726,1.4717643686455,0.381561190420632
"SRR5098588",6,6,0,NA,NA,0.751632927259755,0.318353838537425,1.46703679494703,0.616310552591846
"SRR5098686",4,4,0,NA,NA,1.37664516345766,0.745383104358359,3.92746913939067,0.485478915657161
"SRR5098703",5,5,0,NA,NA,1.47093499984545,0.744047028775012,3.90696773400993,0.531909695516863
"SRR5098712",5,5,0,NA,NA,1.12798196399264,0.632042423905364,2.71770460772578,0.440047323925168
"SRR5098725",2,2,0,NA,NA,0.532610712939302,0.348258147791947,1.53434982978625,0.231982516095515
"SRR5098735",8,8,0,NA,NA,1.80603874100327,0.795372117121905,4.886919543588,1.24250837958172
"SRR5098741",3,3,0,3,0.816496580927726,0.248902066166612,0.11945621908024,1.13566187357029,0.334251787650099
"SRR5098748",9,9,0,NA,NA,0.179813376976039,0.0548122703140567,1.0579908822264,0.812771908528688
