"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098356",4,4,0,NA,NA,0.311397003131856,0.125114562384336,1.14300679495285,0.396181670918728
"SRR5098404",8,8,0,NA,NA,1.41259971130818,0.633609194726816,2.72932613375598,0.849582236093033
"SRR5098440",6,6,0,NA,NA,0.886747571196338,0.413352400691477,1.70460085608241,0.574731221658772
"SRR5098470",2,2,0,NA,NA,0.630518379216872,0.438689999745808,1.78154673807191,0.195036432006051
"SRR5098491",10,10,0,NA,NA,1.78742555174945,0.776663649073204,4.4775514413584,1.15151614708446
"SRR5098515",8,8,0,NA,NA,1.80616189707518,0.810760528911586,5.28430984428609,0.929215890097764
"SRR5098524",10,10,0,NA,NA,1.99591661304382,0.832619806136334,5.97442252226399,1.13240987050581
"SRR5098555",4,4,0,NA,NA,0.668349187167527,0.320543409458726,1.4717643686455,0.381561190420632
"SRR5098588",6,6,0,NA,NA,0.751632927259755,0.318353838537425,1.46703679494703,0.616310552591846
"SRR5098703",5,5,0,NA,NA,1.47093499984545,0.744047028775012,3.90696773400993,0.531909695516863
"SRR5098712",5,5,0,NA,NA,1.12798196399264,0.632042423905364,2.71770460772578,0.440047323925168
"SRR5098748",9,9,0,NA,NA,0.179813376976039,0.0548122703140567,1.0579908822264,0.812771908528688
