"","PRJNA356769a_ITS2_ASV10","PRJNA356769a_ITS2_ASV100","PRJNA356769a_ITS2_ASV103","PRJNA356769a_ITS2_ASV11","PRJNA356769a_ITS2_ASV111","PRJNA356769a_ITS2_ASV12","PRJNA356769a_ITS2_ASV123","PRJNA356769a_ITS2_ASV126","PRJNA356769a_ITS2_ASV135","PRJNA356769a_ITS2_ASV137","PRJNA356769a_ITS2_ASV157","PRJNA356769a_ITS2_ASV140","PRJNA356769a_ITS2_ASV141","PRJNA356769a_ITS2_ASV143","PRJNA356769a_ITS2_ASV144","PRJNA356769a_ITS2_ASV145","PRJNA356769a_ITS2_ASV146","PRJNA356769a_ITS2_ASV15","PRJNA356769a_ITS2_ASV152","PRJNA356769a_ITS2_ASV156","PRJNA356769a_ITS2_ASV159","PRJNA356769a_ITS2_ASV16","PRJNA356769a_ITS2_ASV160","PRJNA356769a_ITS2_ASV161","PRJNA356769a_ITS2_ASV166","PRJNA356769a_ITS2_ASV167","PRJNA356769a_ITS2_ASV169","PRJNA356769a_ITS2_ASV17","PRJNA356769a_ITS2_ASV171","PRJNA356769a_ITS2_ASV173","PRJNA356769a_ITS2_ASV175","PRJNA356769a_ITS2_ASV181","PRJNA356769a_ITS2_ASV182","PRJNA356769a_ITS2_ASV184","PRJNA356769a_ITS2_ASV187","PRJNA356769a_ITS2_ASV188","PRJNA356769a_ITS2_ASV55","PRJNA356769a_ITS2_ASV191","PRJNA356769a_ITS2_ASV24","PRJNA356769a_ITS2_ASV29","PRJNA356769a_ITS2_ASV3","PRJNA356769a_ITS2_ASV33","PRJNA356769a_ITS2_ASV46","PRJNA356769a_ITS2_ASV47","PRJNA356769a_ITS2_ASV5","PRJNA356769a_ITS2_ASV60","PRJNA356769a_ITS2_ASV65","PRJNA356769a_ITS2_ASV7","PRJNA356769a_ITS2_ASV73","PRJNA356769a_ITS2_ASV75","PRJNA356769a_ITS2_ASV8","PRJNA356769a_ITS2_ASV88","PRJNA356769a_ITS2_ASV91","PRJNA356769a_ITS2_ASV93"
"SRR5098356",0,0,0,0,0,0,0,0,0,0,8980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,135,0,0,0,0
"SRR5098404",5898,0,0,0,0,0,0,0,0,0,407,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,544,0,2002,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,326,0,0,0
"SRR5098440",0,0,0,0,0,0,0,1057,0,0,14796,0,0,0,0,0,0,0,0,0,0,0,0,650,0,599,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,2376,0,0,0,0,0,0,0,0
"SRR5098470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1801
"SRR5098491",0,0,0,0,0,0,0,0,0,0,0,2573,0,0,0,0,1353,0,232,789,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,191,0,0,0,0,140,0,0,0,106,193
"SRR5098515",0,0,0,0,0,0,29,0,0,0,0,0,1262,856,1401,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,476,0,0,0,436,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098524",0,0,75,0,0,312,0,1388,0,0,2272,0,0,375,0,1221,0,0,391,715,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0
"SRR5098555",0,0,0,0,0,0,0,0,1211,0,0,0,0,0,0,0,0,0,0,0,694,0,0,0,0,0,592,0,11129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098588",0,0,0,0,0,0,0,437,474,0,8559,0,0,0,0,0,0,274,0,0,0,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098703",0,1927,0,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,2265,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098712",0,0,0,317,0,0,0,0,0,916,14039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5198,0,0,0,17384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098748",171,0,0,0,55,0,0,0,0,0,50901,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,476,86,0,0,0,0,0,0,0,227,0,0,0,0,149,0,0,0,0,111,0,0
