"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769a_ITS2_ASV10","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__roqueforti"
"PRJNA356769a_ITS2_ASV100","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus","s__fumigatus"
"PRJNA356769a_ITS2_ASV103","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"PRJNA356769a_ITS2_ASV11","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"PRJNA356769a_ITS2_ASV111","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Geotrichum","s__ghanense"
"PRJNA356769a_ITS2_ASV12","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium","s__verticillioides"
"PRJNA356769a_ITS2_ASV123","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__infirmominiatum"
"PRJNA356769a_ITS2_ASV126","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia",NA
"PRJNA356769a_ITS2_ASV135","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Trechisporales_fam_Incertae_sedis","g__Sertulicium","s__niveocremeum"
"PRJNA356769a_ITS2_ASV137","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kazachstania","s__barnettii"
"PRJNA356769a_ITS2_ASV157","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__cerevisiae"
"PRJNA356769a_ITS2_ASV140","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Zalariaceae","g__Zalaria","s__alba"
"PRJNA356769a_ITS2_ASV141","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Pichia","s__kudriavzevii"
"PRJNA356769a_ITS2_ASV143","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","s__alternata"
"PRJNA356769a_ITS2_ASV144","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__digitatum"
