"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"g__Aplosporella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0
"g__Cladosporium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,0,0,516,0,0,0,0,0,0
"g__Zalaria",0,0,0,0,0,0,0,0,0,0,0,2573,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Zasmidium",0,0,0,0,0,0,0,0,171,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Neodevriesia",0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Elsinoe",0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0
"g__Nothophaeotheca",0,0,0,0,0,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Allophoma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0
"g__Didymella",0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Didymocyrtis",0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Parastagonospora",0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Phaeosphaeria",0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Alternaria",0,0,0,307,41,0,0,694,0,0,0,0,0,856,375,0,0,0,0,0,0,0,0,0,0
"g__Stemphylium",0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Spissiomyces",0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Valsaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0
"g__Sarcinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11129,0,0,0,0,0,0,0,0
"g__Exophiala",0,0,0,0,0,0,0,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Aspergillus",196,0,0,0,0,0,0,513,0,5543,0,1175,0,0,1712,0,592,274,0,2473,0,0,150,0,184
"g__Penicillium",0,0,252,0,31,0,7900,0,2376,0,0,0,0,1401,0,0,0,0,0,0,0,0,88,160,647
"g__Paecilomyces",0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Talaromyces",0,0,0,0,141,0,0,0,599,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0
"g__Geotrichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"g__Clavispora",0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0
"g__Pichia",0,0,0,0,0,0,891,0,0,0,0,0,0,1262,0,0,0,0,462,0,0,0,0,0,111
"g__Kazachstania",0,0,0,0,32,0,0,0,0,0,0,1353,0,0,0,0,0,0,0,0,916,0,0,0,0
"g__Nakaseomyces",0,0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Saccharomyces",0,1010,8980,0,390,0,407,557,14796,0,0,0,0,0,2272,0,0,8559,0,778,14039,998,0,2474,50901
"g__Zygosaccharomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0
"g__Candida",0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,742,694,0,0,914,5198,0,0,8,0
"g__Yarrowia",460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"g__Hanseniaspora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17384,0,0,0,0
"g__Saccharomycodes",0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Stenocarpella",0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,0,0,0
"g__Acremonium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227
"g__Fusarium",0,0,242,0,0,0,570,0,0,0,0,0,0,361,312,0,0,0,0,2265,0,0,0,0,0
"g__Sarocladium",0,245,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Sertulicium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1211,474,0,0,0,0,0,0,0
"g__Jaminaea",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Malassezia",378,0,0,474,0,369,0,0,1057,0,0,478,61,0,1779,431,0,437,0,0,0,289,28,0,86
"g__Cystofilobasidium",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
"g__Vishniacozyma",134,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Cutaneotrichosporon",0,0,0,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Wallemia",0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0
"g__Mucor",0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,503,0,317,0,0,0,149
