"","SRR5098356","SRR5098404","SRR5098440","SRR5098470","SRR5098491","SRR5098515","SRR5098524","SRR5098555","SRR5098588","SRR5098703","SRR5098712","SRR5098748"
"g__Alternaria",-1.92630556395962,-2.66439426691431,-2.88065998973487,-0.663113195451518,-2.20727869774723,4.12770855889445,2.40851254497369,-2.25742560426626,-2.96368406201435,-2.23202293120667,-3.11172378118786,-3.25941486135518
"g__Aspergillus",-1.92630556395962,-2.66439426691431,-2.88065998973487,7.95735834541822,4.86259543071135,-2.62572935970333,3.92492489990791,4.12776879473147,2.65308703565222,5.58156862174577,-3.11172378118786,1.96094096372315
"g__Candida",-1.92630556395962,-2.66439426691431,-2.88065998973487,-0.663113195451518,-2.20727869774723,-2.62572935970333,-3.52107659841621,4.28648624129853,-2.96368406201435,4.58690113406885,5.44449779719586,-3.25941486135518
"g__Fusarium",3.56675587938093,3.6829949427417,-2.88065998973487,-0.663113195451518,-2.20727869774723,3.26591485212245,2.22512659212394,-2.25742560426626,-2.96368406201435,5.49374851038129,-3.11172378118786,-3.25941486135518
"g__Kazachstania",-1.92630556395962,-2.66439426691431,-2.88065998973487,-0.663113195451518,5.00353975572499,-2.62572935970333,-3.52107659841621,-2.25742560426626,-2.96368406201435,-2.23202293120667,3.70938369106861,-3.25941486135518
"g__Malassezia",-1.92630556395962,-2.66439426691431,4.08347562268338,-0.663113195451518,3.96442189966369,-2.62572935970333,3.96329204486992,-2.25742560426626,3.11853484836209,-2.23202293120667,-3.11172378118786,1.20649325729941
"g__Penicillium",3.6070839247679,6.31035034580842,4.89293447762532,-0.663113195451518,-2.20727869774723,4.61992570789121,-3.52107659841621,-2.25742560426626,-2.96368406201435,-2.23202293120667,-3.11172378118786,3.2144758349971
"g__Pichia",-1.92630556395962,4.1290718656657,-2.88065998973487,-0.663113195451518,-2.20727869774723,4.51551576264717,-3.52107659841621,-2.25742560426626,-2.96368406201435,-2.23202293120667,-3.11172378118786,1.45908400993992
"g__Saccharomyces",7.17656094971133,3.34687290748985,6.72151974676767,-0.663113195451518,-2.20727869774723,-2.62572935970333,4.20777922543633,-2.25742560426626,6.09117140712143,4.42598811466408,6.43794189639195,7.57824263314234
"g__Sertulicium",-1.92630556395962,-2.66439426691431,-2.88065998973487,-0.663113195451518,-2.20727869774723,-2.62572935970333,-3.52107659841621,4.842601562363,3.19963074202029,-2.23202293120667,-3.11172378118786,-3.25941486135518
"g__Talaromyces",-1.92630556395962,-2.66439426691431,3.51626966548128,-0.663113195451518,-2.20727869774723,-2.62572935970333,-3.52107659841621,-2.25742560426626,3.03027736529222,-2.23202293120667,-3.11172378118786,-3.25941486135518
"Other",2.98634932177643,3.84586407360884,3.83108040532131,-0.663113195451518,6.03495119362501,4.47676999607132,3.58716754131533,7.05997384000333,2.65308703565222,-2.23202293120667,6.65163926325411,2.38603203628806
"Unknown",-1.92630556395962,-2.66439426691431,-2.88065998973487,-0.663113195451518,-2.20727869774723,-2.62572935970333,0.809656741870122,-2.25742560426626,-2.96368406201435,-2.23202293120667,2.65032760159232,1.75122043274108
