"","SRR5098356","SRR5098404","SRR5098440","SRR5098470","SRR5098491","SRR5098515","SRR5098524","SRR5098555","SRR5098588","SRR5098703","SRR5098712","SRR5098748"
"g__Cladosporium",0,0,0,0,0,0,1221,0,0,0,0,0
"g__Zalaria",0,0,0,0,2573,0,0,0,0,0,0,0
"g__Zasmidium",0,0,171,0,0,0,0,0,0,0,0,0
"g__Elsinoe",0,0,0,0,0,476,0,0,0,0,0,0
"g__Didymella",0,0,650,0,0,0,0,0,0,0,0,0
"g__Alternaria",0,0,0,0,0,856,375,0,0,0,0,0
"g__Spissiomyces",0,345,0,0,0,0,0,0,0,0,0,0
"g__Sarcinomyces",0,0,0,0,0,0,0,11129,0,0,0,0
"g__Exophiala",0,0,0,0,1033,0,0,0,0,0,0,0
"g__Aspergillus",0,0,0,5543,1175,0,1712,592,274,2473,0,184
"g__Penicillium",252,7900,2376,0,0,1401,0,0,0,0,0,647
"g__Talaromyces",0,0,599,0,0,0,0,0,400,0,0,0
"g__Geotrichum",0,0,0,0,0,0,0,0,0,0,0,55
"g__Pichia",0,891,0,0,0,1262,0,0,0,0,0,111
"g__Kazachstania",0,0,0,0,1353,0,0,0,0,0,916,0
"g__Nakaseomyces",0,0,0,0,191,0,0,0,0,0,0,0
"g__Saccharomyces",8980,407,14796,0,0,0,2272,0,8559,778,14039,50901
"g__Zygosaccharomyces",0,0,0,0,0,0,0,0,274,0,0,0
"g__Candida",0,0,0,0,0,0,0,694,0,914,5198,0
"g__Hanseniaspora",0,0,0,0,0,0,0,0,0,0,17384,0
"g__Saccharomycodes",0,326,0,0,0,0,0,0,0,0,0,0
"g__Stenocarpella",0,0,0,0,0,436,0,0,0,0,0,0
"g__Acremonium",0,0,0,0,0,0,0,0,0,0,0,227
"g__Fusarium",242,570,0,0,0,361,312,0,0,2265,0,0
"g__Sarocladium",135,0,0,0,0,0,0,0,0,0,0,0
"g__Sertulicium",0,0,0,0,0,0,0,1211,474,0,0,0
"g__Malassezia",0,0,1057,0,478,0,1779,0,437,0,0,86
"g__Cystofilobasidium",0,0,0,0,0,29,0,0,0,0,0,0
"g__Wallemia",0,0,0,0,0,273,0,0,0,0,0,0
"Unknown",0,0,0,0,0,0,75,0,0,0,317,149
