"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"g__Alternaria",-1.17154803975029,-0.967087858291608,-1.31799854376185,4.78774811132029,1.97718071257794,-0.681791547150222,-1.82300660367821,5.20764787200863,-2.22962334686943,-0.453709028466828,-0.67434015590336,-1.51024331951126,-0.415175500038877,4.95688625143235,3.52043147078933,-0.667322191208519,-1.54455436081376,-2.02778383190456,-1.28888837805614,-1.52717358450982,-2.1290741660759,-0.661928194822583,-1.43108855972944,-0.794348664069657,-2.23012595776933
"g__Aspergillus",4.1116556889877,-0.967087858291608,-1.31799854376185,-0.942351671653283,-1.76048890570543,-0.681791547150222,-1.82300660367821,4.905959291899,-2.22962334686943,8.16676251240291,-0.67434015590336,5.55963080894731,-0.415175500038877,-1.79655166716543,5.03684382572356,-0.667322191208519,4.84064003818397,3.58898726576201,-1.28888837805614,6.28641796844261,-2.1290741660759,-0.661928194822583,3.58619127708549,-0.794348664069657,2.99022986730899
"g__Candida",-1.17154803975029,-0.967087858291608,-1.31799854376185,-0.942351671653283,1.85042900693879,-0.681791547150222,-1.82300660367821,-1.33626397355616,-2.22962334686943,-0.453709028466828,-0.67434015590336,-1.51024331951126,-0.415175500038877,-1.79655166716543,-2.40915767260056,5.94337385350924,4.99935748475104,-2.02778383190456,-1.28888837805614,5.2917504807657,6.42714741230781,-0.661928194822583,-1.43108855972944,1.40287591326656,-2.23012595776933
"g__Cladosporium",-1.17154803975029,-0.967087858291608,-1.31799854376185,-0.942351671653283,-1.76048890570543,-0.681791547150222,-1.82300660367821,-1.33626397355616,-2.22962334686943,-0.453709028466828,-0.67434015590336,-1.51024331951126,-0.415175500038877,-1.79655166716543,4.69908646713098,-0.667322191208519,-1.54455436081376,-2.02778383190456,4.95915449645229,-1.52717358450982,-2.1290741660759,-0.661928194822583,-1.43108855972944,-0.794348664069657,-2.23012595776933
"g__Clavispora",-1.17154803975029,-0.967087858291608,-1.31799854376185,-0.942351671653283,-1.76048890570543,-0.681791547150222,-1.82300660367821,4.94225745060968,-2.22962334686943,-0.453709028466828,-0.67434015590336,-1.51024331951126,-0.415175500038877,-1.79655166716543,-2.40915767260056,-0.667322191208519,-1.54455436081376,-2.02778383190456,-1.28888837805614,-1.52717358450982,-2.1290741660759,-0.661928194822583,4.21081851120868,-0.794348664069657,-2.23012595776933
"g__Fusarium",-1.17154803975029,-0.967087858291608,4.1750628995787,-0.942351671653283,-1.76048890570543,-0.681791547150222,4.5243826059778,-1.33626397355616,-2.22962334686943,-0.453709028466828,-0.67434015590336,-1.51024331951126,-0.415175500038877,4.09509254466034,3.33704551793959,-0.667322191208519,-1.54455436081376,-2.02778383190456,-1.28888837805614,6.19859785707813,-2.1290741660759,-0.661928194822583,-1.43108855972944,-0.794348664069657,-2.23012595776933
"g__Kazachstania",-1.17154803975029,-0.967087858291608,-1.31799854376185,-0.942351671653283,1.73601865576105,-0.681791547150222,-1.82300660367821,-1.33626397355616,-2.22962334686943,-0.453709028466828,-0.67434015590336,5.70057513396096,-0.415175500038877,-1.79655166716543,-2.40915767260056,-0.667322191208519,-1.54455436081376,-2.02778383190456,-1.28888837805614,-1.52717358450982,4.69203330618056,-0.661928194822583,-1.43108855972944,-0.794348664069657,-2.23012595776933
"g__Malassezia",4.76598816533214,-0.967087858291608,-1.31799854376185,5.22096313238136,-1.76048890570543,5.23171145848805,-1.82300660367821,-1.33626397355616,4.73451226554882,-0.453709028466828,-0.67434015590336,4.66145727789965,3.71195888500622,-1.79655166716543,5.07521097068557,5.40110339703559,-1.54455436081376,4.05443507847189,-1.28888837805614,-1.52717358450982,-2.1290741660759,5.00795272815794,1.93620727025704,-0.794348664069657,2.23578216088525
"g__Penicillium",-1.17154803975029,-0.967087858291608,4.21539094496567,-0.942351671653283,1.7052469970943,-0.681791547150222,7.15173800904452,-1.33626397355616,5.54397112049077,-0.453709028466828,-0.67434015590336,-1.51024331951126,-0.415175500038877,5.4491034004291,-2.40915767260056,-0.667322191208519,-1.54455436081376,-2.02778383190456,-1.28888837805614,-1.52717358450982,-2.1290741660759,-0.661928194822583,3.0575478100027,4.28705570091481,4.24376473858294
"g__Pichia",-1.17154803975029,-0.967087858291608,-1.31799854376185,-0.942351671653283,-1.76048890570543,-0.681791547150222,4.9704595289018,-1.33626397355616,-2.22962334686943,-0.453709028466828,-0.67434015590336,-1.51024331951126,-0.415175500038877,5.34469345518506,-2.40915767260056,-0.667322191208519,-1.54455436081376,-2.02778383190456,4.84883867603009,-1.52717358450982,-2.1290741660759,-0.661928194822583,-1.43108855972944,-0.794348664069657,2.48837291352576
