"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"g__Aplosporella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Aplosporellaceae","g__Aplosporella","g__Aplosporella"
"g__Cladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","g__Cladosporium"
"g__Zalaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Zalariaceae","g__Zalaria","g__Zalaria"
"g__Zasmidium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zasmidium","g__Zasmidium"
"g__Neodevriesia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Neodevriesiaceae","g__Neodevriesia","g__Neodevriesia"
"g__Elsinoe","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe","g__Elsinoe"
"g__Nothophaeotheca","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Neophaeothecales","f__Neophaeothecaceae","g__Nothophaeotheca","g__Nothophaeotheca"
"g__Allophoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Allophoma","g__Allophoma"
"g__Didymella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","g__Didymella"
"g__Didymocyrtis","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis","g__Didymocyrtis"
"g__Parastagonospora","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","g__Parastagonospora"
"g__Phaeosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","g__Phaeosphaeria"
"g__Alternaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria","g__Alternaria"
"g__Stemphylium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","g__Stemphylium"
"g__Spissiomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Wiesneriomycetaceae","g__Spissiomyces","g__Spissiomyces"
"g__Valsaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Valsariales","f__Valsariaceae","g__Valsaria","g__Valsaria"
