"","PRJNA356769a_ITS2_ASV1","PRJNA356769a_ITS2_ASV164","PRJNA356769a_ITS2_ASV38"
"SRR5098354",0,0,0
"SRR5098355",0,0,0
"SRR5098356",0,0,0
"SRR5098360",0,0,0
"SRR5098363",0,0,0
"SRR5098370",0,0,0
"SRR5098404",0,0,0
"SRR5098423",0,0,0
"SRR5098440",0,0,0
"SRR5098470",198,0,0
"SRR5098474",0,629,0
"SRR5098491",6,0,0
"SRR5098511",18,0,0
"SRR5098515",0,0,0
"SRR5098524",0,0,0
"SRR5098533",0,0,0
"SRR5098555",0,0,0
"SRR5098588",0,0,0
"SRR5098686",0,0,0
"SRR5098703",0,0,0
"SRR5098712",0,0,216
"SRR5098725",594,0,0
"SRR5098735",19002,0,0
"SRR5098741",0,0,0
"SRR5098748",0,0,0
