"","PRJNA356769a_ITS2_ASV101","PRJNA356769a_ITS2_ASV102","PRJNA356769a_ITS2_ASV104","PRJNA356769a_ITS2_ASV21","PRJNA356769a_ITS2_ASV106","PRJNA356769a_ITS2_ASV107","PRJNA356769a_ITS2_ASV108","PRJNA356769a_ITS2_ASV109","PRJNA356769a_ITS2_ASV110","PRJNA356769a_ITS2_ASV113","PRJNA356769a_ITS2_ASV115","PRJNA356769a_ITS2_ASV118","PRJNA356769a_ITS2_ASV119","PRJNA356769a_ITS2_ASV121","PRJNA356769a_ITS2_ASV127","PRJNA356769a_ITS2_ASV129","PRJNA356769a_ITS2_ASV13","PRJNA356769a_ITS2_ASV131","PRJNA356769a_ITS2_ASV133","PRJNA356769a_ITS2_ASV134","PRJNA356769a_ITS2_ASV138","PRJNA356769a_ITS2_ASV139","PRJNA356769a_ITS2_ASV142","PRJNA356769a_ITS2_ASV151","PRJNA356769a_ITS2_ASV162","PRJNA356769a_ITS2_ASV165","PRJNA356769a_ITS2_ASV168","PRJNA356769a_ITS2_ASV82","PRJNA356769a_ITS2_ASV18","PRJNA356769a_ITS2_ASV185","PRJNA356769a_ITS2_ASV19","PRJNA356769a_ITS2_ASV195","PRJNA356769a_ITS2_ASV2","PRJNA356769a_ITS2_ASV20","PRJNA356769a_ITS2_ASV22","PRJNA356769a_ITS2_ASV28","PRJNA356769a_ITS2_ASV30","PRJNA356769a_ITS2_ASV37","PRJNA356769a_ITS2_ASV39","PRJNA356769a_ITS2_ASV41","PRJNA356769a_ITS2_ASV42","PRJNA356769a_ITS2_ASV51","PRJNA356769a_ITS2_ASV52","PRJNA356769a_ITS2_ASV54","PRJNA356769a_ITS2_ASV58","PRJNA356769a_ITS2_ASV59","PRJNA356769a_ITS2_ASV6","PRJNA356769a_ITS2_ASV63","PRJNA356769a_ITS2_ASV64","PRJNA356769a_ITS2_ASV66","PRJNA356769a_ITS2_ASV69","PRJNA356769a_ITS2_ASV70","PRJNA356769a_ITS2_ASV78","PRJNA356769a_ITS2_ASV86","PRJNA356769a_ITS2_ASV9","PRJNA356769a_ITS2_ASV95","PRJNA356769a_ITS2_ASV96","PRJNA356769a_ITS2_ASV98"
"SRR5098354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,203,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0
"SRR5098355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098356",0,0,0,0,428,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,177,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
"SRR5098360",0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,293,0,1326,0,0,0,0,0,0,0,0,0,262,298,0,403,0,1613,0,0,3057,0,0,0,0,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098363",0,0,0,256,54,0,0,0,55,0,0,0,36,35,0,0,0,0,0,0,0,0,0,0,0,0,596,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,259,0,51,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651
"SRR5098423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR5098440",0,0,0,0,14507,0,509,0,0,0,0,0,0,0,88,0,0,0,69,0,0,0,0,816,0,0,0,0,0,0,0,1386,828,0,0,0,2562,0,0,0,0,964,0,0,0,0,0,0,398,0,0,0,0,0,0,0,89,0
"SRR5098470",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,223,0,0,0,0,0,0,0,0,6986,0,0,0,0,0,0,0,0,0,0,0
