"","SRR5098354","SRR5098355","SRR5098356","SRR5098360","SRR5098363","SRR5098370","SRR5098404","SRR5098423","SRR5098440","SRR5098470","SRR5098474","SRR5098491","SRR5098511","SRR5098515","SRR5098524","SRR5098533","SRR5098555","SRR5098588","SRR5098686","SRR5098703","SRR5098712","SRR5098725","SRR5098735","SRR5098741","SRR5098748"
"g__Aegilops",-0.611853857414582,0,-1.45066758289448,3.04063628207721,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,-3.54221505846241,-0.807734224505491,-0.427944871248846,-2.47524084997087,-0.357296171218527,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,-3.53222924657705,0,2.64408364416709,-0.825315311255973,-0.821874259764308
"g__Bassia",-0.611853857414582,0,-1.45066758289448,2.7749331163442,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,-3.54221505846241,-0.807734224505491,-0.427944871248846,-2.47524084997087,-0.357296171218527,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,1.57371622732353,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Beta",-0.611853857414582,0,-1.45066758289448,-2.92551045704648,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,3.16342403639759,-0.807734224505491,-0.427944871248846,2.63674693838568,-0.357296171218527,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,-3.53222924657705,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Brassica",-0.611853857414582,0,3.7311159673976,-2.92551045704648,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,2.69219566725596,-0.807734224505491,-0.427944871248846,3.14153024769571,-0.357296171218527,-1.67171207850852,8.43598762283859,-0.375963506959188,-0.357206637668841,-0.982262053913861,7.53378958956702,5.5376791177367,3.73738750303112,0,-1.01947800196256,4.0574866113304,3.32126046662722
"g__Citrus",-0.611853857414582,0,3.7642681747145,-2.92551045704648,-0.943658037099833,-0.993906452118485,5.72304294916882,0,-3.54221505846241,-0.807734224505491,-0.427944871248846,4.98926898466566,-0.357296171218527,3.94868878720863,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,-3.53222924657705,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Coriandrum",-0.611853857414582,0,-1.45066758289448,-2.92551045704648,-0.943658037099833,3.85812381180113,-0.757001612757836,0,-3.54221505846241,-0.807734224505491,-0.427944871248846,-2.47524084997087,-0.357296171218527,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,-3.53222924657705,0,3.84805644849302,-0.825315311255973,-0.821874259764308
"g__Cucumis",-0.611853857414582,0,-1.45066758289448,5.18220960486405,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,4.30671866790166,-0.807734224505491,-0.427944871248846,-2.47524084997087,-0.357296171218527,5.54866175821543,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,4.14470789924103,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Cucurbitaceae_gen_Incertae_sedis",-0.611853857414582,0,-1.45066758289448,-2.92551045704648,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,-3.54221505846241,-0.807734224505491,-0.427944871248846,-2.47524084997087,-0.357296171218527,3.12407846708822,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,2.79212971580426,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Daucus",-0.611853857414582,0,-1.45066758289448,4.46096039178341,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,-3.54221505846241,-0.807734224505491,-0.427944871248846,-2.47524084997087,-0.357296171218527,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,2.75933989298127,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Lactuca",-0.611853857414582,0,-1.45066758289448,3.07590442091467,-0.943658037099833,-0.993906452118485,6.38898285495655,0,3.69268336185242,4.84825758631436,-0.427944871248846,-2.47524084997087,-0.357296171218527,5.8337801962289,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,7.99130420724198,-0.874139149973201,3.46992670782657,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Petroselinum",-0.611853857414582,0,-1.45066758289448,-2.92551045704648,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,0.94642131126973,-0.807734224505491,-0.427944871248846,-2.47524084997087,2.9385406947858,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,2.51985992234737,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Rubus",-0.611853857414582,0,-1.45066758289448,-2.92551045704648,6.11595959119155,-0.993906452118485,-0.757001612757836,0,-3.54221505846241,-0.807734224505491,-0.427944871248846,3.84372726377557,-0.357296171218527,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,-3.53222924657705,0,-1.01947800196256,-0.825315311255973,-0.821874259764308
"g__Sinapis",-0.611853857414582,0,3.56661225392044,-2.92551045704648,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,2.44674635842745,-0.807734224505491,-0.427944871248846,-2.47524084997087,-0.357296171218527,-1.67171207850852,-0.983884073031945,6.3913796183062,-0.357206637668841,-0.982262053913861,-0.970318362300562,-0.874139149973201,-3.53222924657705,0,-1.01947800196256,-0.825315311255973,4.5204599922005
"g__Solanaceae_gen_Incertae_sedis",-0.611853857414582,0,-1.45066758289448,3.69722586690336,-0.943658037099833,-0.993906452118485,-0.757001612757836,0,3.32991304287658,-0.807734224505491,-0.427944871248846,2.59366335224937,-0.357296171218527,-1.67171207850852,-0.983884073031945,-0.375963506959188,-0.357206637668841,6.38418309441374,-0.970318362300562,-0.874139149973201,-3.53222924657705,0,-1.01947800196256,3.74939566724741,-0.821874259764308
