"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"g__Coriandrum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Coriandrum","g__Coriandrum"
"g__Daucus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Daucus","g__Daucus"
"g__Petroselinum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Petroselinum","g__Petroselinum"
"g__Pimpinella","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Pimpinella","g__Pimpinella"
"g__Lactuca","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Asterales","f__Asteraceae","g__Lactuca","g__Lactuca"
"g__Brassica","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","g__Brassica"
"g__Eruca","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Eruca","g__Eruca"
"g__Raphanus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Raphanus","g__Raphanus"
"g__Sinapis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Sinapis","g__Sinapis"
"g__Bassia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Bassia","g__Bassia"
"g__Beta","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Beta","g__Beta"
"g__Salsola","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Salsola","g__Salsola"
"g__Spinacia","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","g__Spinacia"
"g__Cucumis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucumis","g__Cucumis"
"g__Cucurbita","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbita","g__Cucurbita"
"g__Cucurbitaceae_gen_Incertae_sedis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Cucurbitales","f__Cucurbitaceae","g__Cucurbitaceae_gen_Incertae_sedis","g__Cucurbitaceae_gen_Incertae_sedis"
"g__Vaccinium","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Ericales","f__Ericaceae","g__Vaccinium","g__Vaccinium"
"g__Glycine","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Glycine","g__Glycine"
"g__Phaseolus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Phaseolus","g__Phaseolus"
"g__Carya","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya","g__Carya"
"g__Juglans","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Juglans","g__Juglans"
"g__Melissa","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Lamiaceae","g__Melissa","g__Melissa"
"g__Sesamum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Lamiales","f__Pedaliaceae","g__Sesamum","g__Sesamum"
"g__Punica","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Myrtales","f__Lythraceae","g__Punica","g__Punica"
"g__Rubus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Rubus","g__Rubus"
"g__Ulmus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Ulmaceae","g__Ulmus","g__Ulmus"
"g__Anacardium","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Anacardiaceae","g__Anacardium","g__Anacardium"
"g__Citrus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Sapindales","f__Rutaceae","g__Citrus","g__Citrus"
"g__Convolvulus","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Convolvulaceae","g__Convolvulus","g__Convolvulus"
"g__Capsicum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Capsicum","g__Capsicum"
"g__Solanaceae_gen_Incertae_sedis","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanaceae_gen_Incertae_sedis","g__Solanaceae_gen_Incertae_sedis"
"g__Solanum","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanum","g__Solanum"
"g__Monocotyledonae_gen_Incertae_sedis","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Monocotyledonae_ord_Incertae_sedis","f__Monocotyledonae_fam_Incertae_sedis","g__Monocotyledonae_gen_Incertae_sedis","g__Monocotyledonae_gen_Incertae_sedis"
"g__Aegilops","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Aegilops","g__Aegilops"
"g__Bambusa","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Bambusa","g__Bambusa"
"g__Cenchrus","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Cenchrus","g__Cenchrus"
"g__Triticum","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Triticum","g__Triticum"
"g__Zea","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Zea","g__Zea"
"g__Musa","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Zingiberales","f__Musaceae","g__Musa","g__Musa"
"g__Choricystis","k__Viridiplantae","p__Chlorophyta","c__Chlorophyceae","o__Chlamydomonadales","f__Coccomyxaceae","g__Choricystis","g__Choricystis"
"g__Prototheca","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Chlorellales","f__Chlorellaceae","g__Prototheca","g__Prototheca"
"g__Trebouxia","k__Viridiplantae","p__Chlorophyta","c__Trebouxiophyceae","o__Trebouxiales","f__Trebouxiaceae","g__Trebouxia","g__Trebouxia"
"Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
