file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
SRR5098331.1.fastq.gz	FASTQ	DNA	2	600	300	300.0	300	300.0	300.0	300.0	0	300	1	100.00	100.00	30.00	42.67	0
SRR5098331.2.fastq.gz	FASTQ	DNA	2	600	300	300.0	300	300.0	300.0	300.0	0	300	1	100.00	100.00	30.00	43.00	0
SRR5098332.1.fastq.gz	FASTQ	DNA	7987	2396100	300	300.0	300	300.0	300.0	300.0	0	300	1	87.10	79.04	12.53	52.19	62
SRR5098332.2.fastq.gz	FASTQ	DNA	7987	2396100	300	300.0	300	300.0	300.0	300.0	0	300	1	59.80	52.31	6.46	54.57	81
SRR5098333.1.fastq.gz	FASTQ	DNA	13884	4165200	300	300.0	300	300.0	300.0	300.0	0	300	1	88.76	81.43	13.28	48.12	158
SRR5098333.2.fastq.gz	FASTQ	DNA	13884	4165200	300	300.0	300	300.0	300.0	300.0	0	300	1	62.47	54.86	6.83	49.57	133
SRR5098336.1.fastq.gz	FASTQ	DNA	3	900	300	300.0	300	300.0	300.0	300.0	0	300	1	98.11	93.11	27.32	41.89	0
SRR5098336.2.fastq.gz	FASTQ	DNA	3	900	300	300.0	300	300.0	300.0	300.0	0	300	1	80.44	72.11	10.05	41.67	0
SRR5098338.1.fastq.gz	FASTQ	DNA	9	2700	300	300.0	300	300.0	300.0	300.0	0	300	1	95.33	90.56	16.67	43.63	0
SRR5098338.2.fastq.gz	FASTQ	DNA	9	2700	300	300.0	300	300.0	300.0	300.0	0	300	1	78.19	69.11	9.74	43.59	0
SRR5098339.1.fastq.gz	FASTQ	DNA	5355	1606500	300	300.0	300	300.0	300.0	300.0	0	300	1	84.93	76.23	11.69	53.86	39
SRR5098339.2.fastq.gz	FASTQ	DNA	5355	1606500	300	300.0	300	300.0	300.0	300.0	0	300	1	57.18	49.23	6.19	56.57	40
SRR5098340.1.fastq.gz	FASTQ	DNA	7262	2178600	300	300.0	300	300.0	300.0	300.0	0	300	1	40.64	37.38	4.42	36.09	1
SRR5098340.2.fastq.gz	FASTQ	DNA	7262	2178600	300	300.0	300	300.0	300.0	300.0	0	300	1	33.84	32.00	3.86	40.19	900
SRR5098341.1.fastq.gz	FASTQ	DNA	224575	67372500	300	300.0	300	300.0	300.0	300.0	0	300	1	87.73	80.55	12.85	43.48	2231
SRR5098341.2.fastq.gz	FASTQ	DNA	224575	67372500	300	300.0	300	300.0	300.0	300.0	0	300	1	58.07	50.73	6.24	43.78	2545
SRR5098343.1.fastq.gz	FASTQ	DNA	52605	15781500	300	300.0	300	300.0	300.0	300.0	0	300	1	81.00	72.76	10.26	49.63	7
SRR5098343.2.fastq.gz	FASTQ	DNA	52605	15781500	300	300.0	300	300.0	300.0	300.0	0	300	1	59.78	52.80	6.33	50.34	3966
SRR5098346.1.fastq.gz	FASTQ	DNA	45975	13792500	300	300.0	300	300.0	300.0	300.0	0	300	1	63.60	57.96	6.77	40.13	7
SRR5098346.2.fastq.gz	FASTQ	DNA	45975	13792500	300	300.0	300	300.0	300.0	300.0	0	300	1	47.91	43.38	5.00	42.36	4300
SRR5098347.1.fastq.gz	FASTQ	DNA	1060	318000	300	300.0	300	300.0	300.0	300.0	0	300	1	100.00	100.00	30.00	50.76	1
SRR5098347.2.fastq.gz	FASTQ	DNA	1060	318000	300	300.0	300	300.0	300.0	300.0	0	300	1	100.00	100.00	30.00	53.43	0
