"","x"
"SRR5098332",6585
"SRR5098333",12953
"SRR5098339",4646
"SRR5098340",1143
"SRR5098341",189920
"SRR5098343",48968
"SRR5098346",27727
"SRR5098348",7769
"SRR5098349",32631
"SRR5098351",89439
"SRR5098357",9277
"SRR5098359",71937
"SRR5098361",20283
"SRR5098364",36294
"SRR5098366",42952
"SRR5098367",85093
"SRR5098368",14674
"SRR5098369",23347
"SRR5098371",184216
"SRR5098372",17242
"SRR5098373",19324
"SRR5098374",7479
"SRR5098375",30367
"SRR5098376",14019
"SRR5098377",34176
"SRR5098378",28233
"SRR5098379",4103
"SRR5098380",290
"SRR5098382",3196
"SRR5098383",1290
"SRR5098384",77221
"SRR5098385",28981
"SRR5098386",14198
"SRR5098388",53773
"SRR5098389",46490
"SRR5098390",65411
"SRR5098392",26587
"SRR5098393",28293
"SRR5098394",101819
"SRR5098395",18731
"SRR5098396",26915
"SRR5098397",16483
"SRR5098398",165412
"SRR5098400",28696
"SRR5098401",110947
"SRR5098402",11443
"SRR5098403",82810
"SRR5098406",52901
"SRR5098407",3128
"SRR5098408",2552
"SRR5098409",259872
"SRR5098410",16883
"SRR5098411",20903
"SRR5098413",103617
"SRR5098415",10637
"SRR5098416",4478
"SRR5098417",2161
"SRR5098420",12642
"SRR5098421",242485
"SRR5098425",72703
"SRR5098426",21615
"SRR5098427",450
"SRR5098429",11469
"SRR5098430",18443
"SRR5098431",4981
"SRR5098432",5940
"SRR5098434",36875
"SRR5098435",22966
"SRR5098436",110913
"SRR5098438",23927
"SRR5098439",64125
"SRR5098442",29487
"SRR5098443",43105
"SRR5098444",79564
"SRR5098445",2442
"SRR5098446",36408
"SRR5098447",66045
"SRR5098449",44638
"SRR5098450",50068
"SRR5098452",37366
"SRR5098453",19777
"SRR5098454",14349
"SRR5098456",23961
"SRR5098457",17141
"SRR5098458",63672
"SRR5098459",26757
"SRR5098460",25116
"SRR5098461",28335
"SRR5098465",3316
"SRR5098466",49465
"SRR5098467",29596
"SRR5098469",82244
"SRR5098471",65377
"SRR5098473",7883
"SRR5098475",16895
"SRR5098477",69148
"SRR5098478",51679
"SRR5098479",18337
"SRR5098481",24487
"SRR5098483",22026
"SRR5098484",14806
"SRR5098486",15470
"SRR5098487",25848
"SRR5098488",21699
"SRR5098489",101945
"SRR5098490",62294
"SRR5098492",2848
"SRR5098493",17583
"SRR5098494",8767
"SRR5098495",10569
"SRR5098496",25274
"SRR5098498",129698
"SRR5098499",94286
"SRR5098500",103232
"SRR5098501",84610
"SRR5098502",3451
"SRR5098503",73517
"SRR5098504",3699
"SRR5098506",35683
"SRR5098507",36478
"SRR5098508",5301
"SRR5098510",14169
"SRR5098516",12729
"SRR5098517",40666
"SRR5098518",6387
"SRR5098519",3622
"SRR5098520",34523
"SRR5098521",28380
"SRR5098522",1724
"SRR5098523",27322
"SRR5098526",35757
"SRR5098527",33107
"SRR5098529",8754
"SRR5098531",5088
"SRR5098534",50482
"SRR5098535",14037
"SRR5098536",20019
"SRR5098537",8266
"SRR5098538",2366
"SRR5098539",64507
"SRR5098540",19357
"SRR5098541",43602
"SRR5098542",5589
"SRR5098543",15003
"SRR5098544",16570
"SRR5098545",2736
"SRR5098546",10943
"SRR5098547",429
"SRR5098548",39246
"SRR5098551",5308
"SRR5098554",8033
"SRR5098556",1142
"SRR5098557",19547
"SRR5098558",10466
"SRR5098559",54960
"SRR5098560",61408
"SRR5098561",16108
"SRR5098564",67473
"SRR5098565",42111
"SRR5098566",46027
"SRR5098568",34817
"SRR5098569",27411
"SRR5098571",38675
"SRR5098572",2539
"SRR5098573",20679
"SRR5098574",26758
"SRR5098575",31547
"SRR5098576",8013
"SRR5098577",12432
"SRR5098578",6384
"SRR5098579",23107
"SRR5098581",25543
"SRR5098582",64988
"SRR5098583",31879
"SRR5098584",20281
"SRR5098586",17428
"SRR5098589",25623
"SRR5098590",15585
"SRR5098591",12290
"SRR5098592",2753
"SRR5098593",39431
"SRR5098594",4522
"SRR5098595",34898
"SRR5098596",13867
"SRR5098597",24920
"SRR5098598",48646
"SRR5098599",21198
"SRR5098600",39947
"SRR5098601",42005
"SRR5098602",53760
"SRR5098603",14105
"SRR5098604",45854
"SRR5098605",17398
"SRR5098606",1650
"SRR5098607",289969
"SRR5098609",6828
"SRR5098610",58138
"SRR5098611",14066
"SRR5098613",5491
"SRR5098614",76584
"SRR5098668",25303
"SRR5098669",23861
"SRR5098671",34242
"SRR5098673",61333
"SRR5098675",35188
"SRR5098676",6163
"SRR5098677",2969
"SRR5098678",4814
"SRR5098679",70805
"SRR5098680",34616
"SRR5098681",39412
"SRR5098682",23428
"SRR5098685",34768
"SRR5098687",35649
"SRR5098688",25733
"SRR5098689",57475
"SRR5098690",7751
