"","Observed","Chao1","se.chao1","ACE","se.ACE","Shannon","Simpson","InvSimpson","Fisher"
"SRR5098332",8,8,0,NA,NA,1.74070890505532,0.780601595051914,4.55791827764938,0.898957068242321
"SRR5098333",6,6,0,NA,NA,1.03098251174324,0.491103967417281,1.96503791732244,0.61375512762102
"SRR5098339",6,6,0,NA,NA,1.47488725914683,0.723416580518798,3.61554572532128,0.685584838504958
"SRR5098340",1,1,0,NA,NA,0,0,1,0.10789242999962
"SRR5098341",6,6,0,NA,NA,0.0912450265665125,0.0270471310971987,1.02779901469194,0.469339523636149
"SRR5098343",13,13,0,NA,NA,1.87383749520151,0.781765224742496,4.58222113693869,1.2474605614681
"SRR5098346",7,7,0,NA,NA,1.55238006741269,0.737780083585518,3.81359285623193,0.659136275200358
"SRR5098348",3,3,0,NA,NA,1.08443377296631,0.65688412056319,2.91446726872974,0.29468210477235
"SRR5098349",7,7,0,NA,NA,1.13734687395884,0.55613379484626,2.25293114994784,0.648599905559871
"SRR5098351",11,11,0,NA,NA,0.926204241077288,0.472207434403435,1.89468375491363,0.963198062320654
"SRR5098357",4,4,0,NA,NA,1.30444976361974,0.713636280411757,3.4920624771807,0.401029463847037
"SRR5098359",4,4,0,NA,NA,0.0838800657936046,0.0276724800566194,1.02846003994439,0.325070886603556
"SRR5098361",3,3,0,NA,NA,0.484400435904838,0.24149402165054,1.31838117107006,0.266963308898363
"SRR5098364",7,7,0,NA,NA,0.863341077435448,0.372707472750917,1.59415257883811,0.639850268782359
"SRR5098366",8,8,0,NA,NA,0.679194837167966,0.343980280316459,1.52434442135732,0.728992535271239
"SRR5098367",11,11,0,NA,NA,0.59229637660008,0.26828223410169,1.36664715086195,0.966598836298846
"SRR5098368",4,4,0,NA,NA,1.03258159055719,0.584725043031906,2.40804311269083,0.378604257954408
"SRR5098369",11,11,0,NA,NA,1.40704564455041,0.669451220183196,3.02527209616147,1.10760323255857
"SRR5098371",16,16,0,NA,NA,1.17785993346491,0.587807607487865,2.42605156758336,1.35385504875672
"SRR5098372",6,6,0,NA,NA,0.860346081219945,0.3822378495536,1.61874598383438,0.594120936940276
"SRR5098373",9,9,0,NA,NA,1.63856585884253,0.741311540124358,3.86565369201519,0.920232393800325
"SRR5098374",9,9,0,NA,NA,1.19654284947591,0.505346582179137,2.02161748806949,1.01151914094217
"SRR5098375",5,5,0,NA,NA,0.58626591844854,0.275079966576787,1.37946249778449,0.452980373833545
