"","x"
"SRR5098332",6585
"SRR5098333",10804
"SRR5098341",167201
"SRR5098343",41867
"SRR5098346",26987
"SRR5098348",7769
"SRR5098349",31556
"SRR5098351",87797
"SRR5098357",8609
"SRR5098359",71827
"SRR5098361",20283
"SRR5098364",36081
"SRR5098366",42529
"SRR5098367",84637
"SRR5098368",14674
"SRR5098369",22777
"SRR5098371",183699
"SRR5098372",14447
"SRR5098373",16268
"SRR5098374",7397
"SRR5098375",28172
"SRR5098376",14019
"SRR5098377",14598
"SRR5098378",25804
"SRR5098384",69099
"SRR5098385",28981
"SRR5098386",13974
"SRR5098388",40473
"SRR5098389",42674
"SRR5098390",8838
"SRR5098392",17525
"SRR5098393",12718
"SRR5098394",100602
"SRR5098395",18689
"SRR5098396",17414
"SRR5098397",15332
"SRR5098398",165412
"SRR5098400",28129
"SRR5098401",110485
"SRR5098402",6287
"SRR5098403",82420
"SRR5098406",47011
"SRR5098409",241095
"SRR5098410",16627
"SRR5098411",5966
"SRR5098413",95002
"SRR5098415",8916
"SRR5098420",12642
"SRR5098421",189129
"SRR5098425",72672
"SRR5098426",15943
"SRR5098429",10926
"SRR5098430",18443
"SRR5098434",35009
"SRR5098435",22944
"SRR5098436",110549
"SRR5098438",17515
"SRR5098439",64125
"SRR5098442",24800
"SRR5098443",40140
"SRR5098446",25593
"SRR5098447",23756
"SRR5098449",44300
"SRR5098450",48660
"SRR5098453",19266
"SRR5098454",11162
"SRR5098456",15501
"SRR5098457",15222
"SRR5098458",13601
"SRR5098459",23292
"SRR5098460",25116
"SRR5098461",28335
"SRR5098466",46418
"SRR5098467",24162
"SRR5098469",81856
"SRR5098471",64246
"SRR5098473",7379
"SRR5098475",15921
"SRR5098477",63212
"SRR5098478",51679
"SRR5098479",16233
"SRR5098481",24192
"SRR5098483",16302
"SRR5098484",13275
"SRR5098486",14303
"SRR5098487",15379
"SRR5098489",91491
"SRR5098490",59554
"SRR5098493",16667
"SRR5098494",7425
"SRR5098495",7868
"SRR5098496",15153
"SRR5098498",129655
"SRR5098499",87210
"SRR5098500",103138
"SRR5098501",81008
"SRR5098503",14823
"SRR5098506",27979
"SRR5098507",9199
"SRR5098510",14169
"SRR5098516",12423
"SRR5098517",32401
"SRR5098518",5256
"SRR5098520",33182
"SRR5098521",27889
"SRR5098523",21078
"SRR5098526",35123
"SRR5098527",15211
"SRR5098529",8725
"SRR5098534",50169
"SRR5098535",14037
"SRR5098536",9858
"SRR5098537",6545
"SRR5098539",64243
"SRR5098540",12101
"SRR5098541",36594
"SRR5098542",5292
"SRR5098543",13439
"SRR5098544",13662
"SRR5098546",5686
"SRR5098548",35650
"SRR5098551",5308
"SRR5098554",7965
"SRR5098557",15231
"SRR5098558",10466
"SRR5098559",45801
"SRR5098560",53940
"SRR5098561",13573
"SRR5098564",66567
"SRR5098565",41666
"SRR5098566",17528
"SRR5098568",34817
"SRR5098569",18176
"SRR5098571",38675
"SRR5098573",19029
"SRR5098574",25838
"SRR5098575",31073
"SRR5098576",7960
"SRR5098577",5816
"SRR5098579",23107
"SRR5098581",23831
"SRR5098582",63512
"SRR5098583",31810
"SRR5098584",19605
"SRR5098586",17428
"SRR5098589",20909
"SRR5098590",13028
"SRR5098593",35660
"SRR5098595",8779
"SRR5098596",13482
"SRR5098597",20756
"SRR5098598",48111
"SRR5098599",11439
"SRR5098600",38459
"SRR5098601",38097
"SRR5098602",46076
"SRR5098603",11322
"SRR5098604",45854
"SRR5098605",10324
"SRR5098607",289463
"SRR5098610",58094
"SRR5098611",12810
"SRR5098613",5394
"SRR5098614",52139
"SRR5098668",23307
"SRR5098669",18713
"SRR5098671",34242
"SRR5098673",54212
"SRR5098675",28783
"SRR5098680",31466
"SRR5098681",36493
"SRR5098682",15464
"SRR5098685",32246
"SRR5098687",18471
"SRR5098688",24355
"SRR5098689",57143
"SRR5098690",7360
"SRR5098693",15591
"SRR5098694",26185
"SRR5098695",15672
"SRR5098696",21723
"SRR5098697",38274
"SRR5098701",23447
"SRR5098702",237497
"SRR5098704",40256
"SRR5098705",88026
"SRR5098713",24286
"SRR5098714",7285
"SRR5098715",32873
"SRR5098717",11425
"SRR5098719",26978
"SRR5098721",130797
"SRR5098722",17423
"SRR5098723",13622
"SRR5098724",6637
"SRR5098726",79251
"SRR5098727",34295
"SRR5098728",6047
"SRR5098729",10890
"SRR5098732",6753
"SRR5098733",44438
"SRR5098736",46025
"SRR5098737",77843
"SRR5098738",41921
"SRR5098740",12016
"SRR5098742",15746
"SRR5098746",11923
"SRR5098752",27237
"SRR5098753",39791
"SRR5098756",8338
"SRR5098758",57518
"SRR5098759",19690
"SRR5098761",45077
"SRR5098764",21007
"SRR5098765",50077
"SRR5098767",86439
"SRR5098768",14585
"SRR5098769",20642
"SRR5098772",17551
"SRR5098776",14195
"SRR5098779",33104
"SRR5098780",11636
"SRR5098782",6669
