"","SRR5098332","SRR5098333","SRR5098341","SRR5098343","SRR5098346","SRR5098348","SRR5098349","SRR5098351","SRR5098357","SRR5098359","SRR5098361","SRR5098364","SRR5098366","SRR5098367","SRR5098368","SRR5098369","SRR5098371","SRR5098372","SRR5098373","SRR5098374","SRR5098375","SRR5098376","SRR5098377","SRR5098378","SRR5098384","SRR5098385","SRR5098386","SRR5098388","SRR5098389","SRR5098390","SRR5098392","SRR5098393","SRR5098394","SRR5098395","SRR5098396","SRR5098397","SRR5098398","SRR5098400","SRR5098401","SRR5098402","SRR5098403","SRR5098406","SRR5098409","SRR5098410","SRR5098411","SRR5098413","SRR5098415","SRR5098420","SRR5098421","SRR5098425","SRR5098426","SRR5098429","SRR5098430","SRR5098434","SRR5098435","SRR5098436","SRR5098438","SRR5098439","SRR5098442","SRR5098443","SRR5098446","SRR5098447","SRR5098449","SRR5098450","SRR5098453","SRR5098454","SRR5098456","SRR5098457","SRR5098458","SRR5098459","SRR5098460","SRR5098461","SRR5098466","SRR5098467","SRR5098469","SRR5098471","SRR5098473","SRR5098475","SRR5098477","SRR5098478","SRR5098479","SRR5098481","SRR5098483","SRR5098484","SRR5098486","SRR5098487","SRR5098489","SRR5098490","SRR5098493","SRR5098494","SRR5098495","SRR5098496","SRR5098498","SRR5098499","SRR5098500","SRR5098501","SRR5098503","SRR5098506","SRR5098507","SRR5098510","SRR5098516","SRR5098517","SRR5098518","SRR5098520","SRR5098521","SRR5098523","SRR5098526","SRR5098527","SRR5098529","SRR5098534","SRR5098535","SRR5098536","SRR5098537","SRR5098539","SRR5098540","SRR5098541","SRR5098542","SRR5098543","SRR5098544","SRR5098546","SRR5098548","SRR5098551","SRR5098554","SRR5098557","SRR5098558","SRR5098559","SRR5098560","SRR5098561","SRR5098564","SRR5098565","SRR5098566","SRR5098568","SRR5098569","SRR5098571","SRR5098573","SRR5098574","SRR5098575","SRR5098576","SRR5098577","SRR5098579","SRR5098581","SRR5098582","SRR5098583","SRR5098584","SRR5098586","SRR5098589","SRR5098590","SRR5098593","SRR5098595","SRR5098596","SRR5098597","SRR5098598","SRR5098599","SRR5098600","SRR5098601","SRR5098602","SRR5098603","SRR5098604","SRR5098605","SRR5098607","SRR5098610","SRR5098611","SRR5098613","SRR5098614","SRR5098668","SRR5098669","SRR5098671","SRR5098673","SRR5098675","SRR5098680","SRR5098681","SRR5098682","SRR5098685","SRR5098687","SRR5098688","SRR5098689","SRR5098690","SRR5098693","SRR5098694","SRR5098695","SRR5098696","SRR5098697","SRR5098701","SRR5098702","SRR5098704","SRR5098705","SRR5098713","SRR5098714","SRR5098715","SRR5098717","SRR5098719","SRR5098721","SRR5098722","SRR5098723","SRR5098724","SRR5098726","SRR5098727","SRR5098728","SRR5098729","SRR5098732","SRR5098733","SRR5098736","SRR5098737","SRR5098738","SRR5098740","SRR5098742","SRR5098746","SRR5098752","SRR5098753","SRR5098756","SRR5098758","SRR5098759","SRR5098761","SRR5098764","SRR5098765","SRR5098767","SRR5098768","SRR5098769","SRR5098772","SRR5098776","SRR5098779","SRR5098780","SRR5098782"
"g__Acremonium",0,0,0,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Alternaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,36368,1836,311,0,0,0,310,0,0,0,0,0,0,0,0,108,0,2060,0,0,0,0,0,0,0,1681,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,2540,0,220,0,0,0,0,0,0,0,486,1288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,1005,0,0,422,0,0,0,0,0,0,0,0,0,0,2231,0,0,563,0,393,0,593,0,992,0,184,0,0,0,0,0,1208,0,0,0,4610,0,0,0,0,1164,0,0,0,0,0,0,0,0,268,1380,0,0,0,0,0,0,0,831,899,0,0,1177,0,0,0,0,260,553,222,2540,0,0,0,0,0,1706,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,237,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0
"g__Aspergillus",1649,0,0,2053,1548,0,0,0,0,0,0,1901,0,387,0,0,1779,0,0,89,383,0,955,801,0,0,0,388,148,0,2201,0,944,0,206,0,0,599,0,0,495,0,0,0,0,461,0,0,1878,0,0,0,35,0,1658,0,0,0,3369,6138,1898,1272,0,1104,1418,585,0,0,1198,0,0,855,511,0,0,0,0,0,2366,0,160,2002,0,0,0,0,2643,0,0,0,0,648,0,0,0,507,0,1435,0,1674,0,0,0,0,0,0,4734,0,0,7454,0,0,0,0,0,0,0,0,0,0,445,0,299,1125,0,1004,0,852,357,0,0,1614,0,9714,604,0,0,0,0,69,0,86,0,0,0,2198,35,1631,0,0,0,478,0,152,0,437,0,0,1286,287,0,0,669,507,942,0,0,0,775,0,8900,5373,600,381,349,484,0,0,0,369,0,7648,0,0,2141,376,1490,0,0,361,0,0,0,0,477,0,121,0,0,0,0,0,716,4069,0,92,0,730,530,962,84,0,720,0,4008,0,0,0,1194,0,682,632,434
"g__Aureobasidium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,2121,0,1051,0,0,0,0,0,0,0,0,6028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,74,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
"g__Bipolaris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496,0,0,0,0,0,0,0,0,0,0,0,805,0,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Bulbithecium",0,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,0,0,0,1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3412,0,0,0,0,0,0,0,0,1358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Candida",2460,7480,0,0,11830,0,21694,1374,0,0,0,0,257,0,0,75,18184,1610,1603,574,0,0,8279,1081,285,0,0,553,332,0,0,0,3346,253,0,0,0,0,301,763,12342,0,1756,3313,0,1029,0,0,0,28,0,0,0,608,0,0,1455,0,8709,0,0,0,42847,487,0,0,0,0,1315,1360,0,599,4758,0,1501,0,0,0,0,44277,77,11037,0,0,1887,0,0,5047,2934,0,0,0,89,0,636,737,0,0,4082,0,0,0,3549,0,0,0,877,0,0,38,0,0,0,15327,3020,1104,0,0,0,0,11982,0,123,8708,0,9615,0,0,37449,0,4470,654,0,0,996,0,0,0,0,0,0,193,0,0,8087,0,10238,0,896,0,8115,10981,0,0,5111,523,175,1224,0,0,1007,1563,0,2142,8953,0,0,2859,0,0,1483,0,0,177,1800,5912,0,0,16636,6170,0,12463,0,13694,1132,0,0,0,0,8125,0,100201,11641,2904,0,147,29311,1697,624,0,0,0,280,8981,0,0,0,0,1204,0,772,0,4559,0,5407,85181,0,6384,0,1608,1521,0,2190
"g__Chlamydosporiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0,0,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"g__Cladosporium",670,0,0,0,0,0,879,342,0,0,0,0,0,0,1602,0,852,0,0,0,0,0,0,0,0,0,478,2374,344,335,0,313,1565,0,0,0,0,0,0,0,0,0,730,0,883,183,0,0,2689,0,1155,6545,0,274,0,0,744,0,0,1128,5265,0,0,0,0,0,0,1302,1023,1011,0,3631,0,0,0,3006,771,465,0,0,0,0,1996,0,0,0,3038,1163,353,0,0,4841,0,757,278,0,0,612,228,556,0,0,0,3182,0,1227,6434,0,0,1795,0,0,602,0,0,0,0,831,0,0,7920,0,434,504,0,0,0,2303,527,3201,0,20022,0,0,0,0,83,373,0,0,0,0,0,0,3747,0,576,534,255,649,0,0,0,1216,0,545,0,0,0,0,0,0,0,693,0,0,332,0,7048,0,826,2133,658,0,0,0,0,1739,0,0,0,3712,1368,167,1486,721,1077,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,206,2082,0,1444,3163,0,954,0,0,0,833,0,4292,0,0,1186,1713,0,2327,0,0
"g__Clavispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6225,0,0,0,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,366,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4978,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284987,0,0,0,1078,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,46,77,0,0,0,0,0,0,0,0,0,0,0,0
