"","Kingdom","Phylum","Class","Order","Family","Genus","unique"
"g__Botryosphaeria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Botryosphaeriaceae","g__Botryosphaeria","g__Botryosphaeria"
"g__Aeminium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Aeminiaceae","g__Aeminium","g__Aeminium"
"g__Perusta","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Perusta","g__Perusta"
"g__Cladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Cladosporium","g__Cladosporium"
"g__Toxicocladosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Cladosporiales","f__Cladosporiaceae","g__Toxicocladosporium","g__Toxicocladosporium"
"g__Aureobasidium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","g__Aureobasidium"
"g__Zalaria","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Zalariaceae","g__Zalaria","g__Zalaria"
"g__Pseudorobillarda","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Pseudorobillardaceae","g__Pseudorobillarda","g__Pseudorobillarda"
"g__Uwebraunia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Dissoconiaceae","g__Uwebraunia","g__Uwebraunia"
"g__Ramularia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","g__Ramularia"
"g__Zasmidium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Zasmidium","g__Zasmidium"
"g__Neohortaea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellales_fam_Incertae_sedis","g__Neohortaea","g__Neohortaea"
"g__Neodevriesia","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Neodevriesiaceae","g__Neodevriesia","g__Neodevriesia"
"g__Eupenidiella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Eupenidiella","g__Eupenidiella"
"g__Hortaea","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Hortaea","g__Hortaea"
"g__Neocatenulostroma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Neocatenulostroma","g__Neocatenulostroma"
"g__Salinomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Salinomyces","g__Salinomyces"
"g__Didymella","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella","g__Didymella"
"g__Epicoccum","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","g__Epicoccum"
"g__Phoma","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phoma","g__Phoma"
"g__Pseudopithomyces","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces","g__Pseudopithomyces"
"g__Neocamarosporium","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neocamarosporiaceae","g__Neocamarosporium","g__Neocamarosporium"
"g__Neopyrenochaeta","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Neopyrenochaetaceae","g__Neopyrenochaeta","g__Neopyrenochaeta"
