"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769b_ITS2_ASV101","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Coriolopsis","s__strumosa"
"PRJNA356769b_ITS2_ASV1010","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__subflaviporus"
"PRJNA356769b_ITS2_ASV673","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__complicatum"
"PRJNA356769b_ITS2_ASV144","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__hirsuta"
"PRJNA356769b_ITS2_ASV183","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__alkalinus"
"PRJNA356769b_ITS2_ASV219","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__cinerea"
"PRJNA356769b_ITS2_ASV228","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__nunavutica"
"PRJNA356769b_ITS2_ASV229","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Agaricus","s__bisporus"
"PRJNA356769b_ITS2_ASV242","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Gymnopus","s__spongiosus"
"PRJNA356769b_ITS2_ASV249","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Hydnoporia","s__corrugata"
"PRJNA356769b_ITS2_ASV261","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__pleuroticola"
"PRJNA356769b_ITS2_ASV275","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__complicatum"
"PRJNA356769b_ITS2_ASV290","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Lentinula","s__lateritia"
"PRJNA356769b_ITS2_ASV307","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae","g__Verpa",NA
"PRJNA356769b_ITS2_ASV323","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Bondarzewiaceae","g__Heterobasidion","s__parviporum"
"PRJNA356769b_ITS2_ASV324","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Perenniporia","s__subacida"
"PRJNA356769b_ITS2_ASV329","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletinellaceae","g__Boletinellus","s__merulioides"
"PRJNA356769b_ITS2_ASV35","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","s__abramsii"
"PRJNA356769b_ITS2_ASV355","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__raduloides"
"PRJNA356769b_ITS2_ASV358","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__cubensis"
"PRJNA356769b_ITS2_ASV393","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Schizophyllaceae","g__Schizophyllum","s__commune"
