"","SRR5098332","SRR5098333","SRR5098339","SRR5098340","SRR5098341","SRR5098343","SRR5098346","SRR5098348","SRR5098349","SRR5098351","SRR5098357","SRR5098359","SRR5098361","SRR5098364","SRR5098366","SRR5098367","SRR5098368","SRR5098369","SRR5098371","SRR5098372","SRR5098373","SRR5098374","SRR5098375","SRR5098376","SRR5098377","SRR5098378","SRR5098379","SRR5098380","SRR5098382","SRR5098383","SRR5098384","SRR5098385","SRR5098386","SRR5098388","SRR5098389","SRR5098390","SRR5098392","SRR5098393","SRR5098394","SRR5098395","SRR5098396","SRR5098397","SRR5098398","SRR5098400","SRR5098401","SRR5098402","SRR5098403","SRR5098406","SRR5098407","SRR5098408","SRR5098409","SRR5098410","SRR5098411","SRR5098413","SRR5098415","SRR5098416","SRR5098417","SRR5098420","SRR5098421","SRR5098425","SRR5098426","SRR5098427","SRR5098429","SRR5098430","SRR5098431","SRR5098432","SRR5098434","SRR5098435","SRR5098436","SRR5098438","SRR5098439","SRR5098442","SRR5098443","SRR5098444","SRR5098445","SRR5098446","SRR5098447","SRR5098449","SRR5098450","SRR5098452","SRR5098453","SRR5098454","SRR5098456","SRR5098457","SRR5098458","SRR5098459","SRR5098460","SRR5098461","SRR5098465","SRR5098466","SRR5098467","SRR5098469","SRR5098471","SRR5098473","SRR5098475","SRR5098477","SRR5098478","SRR5098479","SRR5098481","SRR5098483","SRR5098484","SRR5098486","SRR5098487","SRR5098488","SRR5098489","SRR5098490","SRR5098492","SRR5098493","SRR5098494","SRR5098495","SRR5098496","SRR5098498","SRR5098499","SRR5098500","SRR5098501","SRR5098502","SRR5098503","SRR5098504","SRR5098506","SRR5098507","SRR5098508","SRR5098510","SRR5098516","SRR5098517","SRR5098518","SRR5098519","SRR5098520","SRR5098521","SRR5098522","SRR5098523","SRR5098526","SRR5098527","SRR5098529","SRR5098531","SRR5098534","SRR5098535","SRR5098536","SRR5098537","SRR5098538","SRR5098539","SRR5098540","SRR5098541","SRR5098542","SRR5098543","SRR5098544","SRR5098545","SRR5098546","SRR5098547","SRR5098548","SRR5098551","SRR5098554","SRR5098556","SRR5098557","SRR5098558","SRR5098559","SRR5098560","SRR5098561","SRR5098564","SRR5098565","SRR5098566","SRR5098568","SRR5098569","SRR5098571","SRR5098572","SRR5098573","SRR5098574","SRR5098575","SRR5098576","SRR5098577","SRR5098578","SRR5098579","SRR5098581","SRR5098582","SRR5098583","SRR5098584","SRR5098586","SRR5098589","SRR5098590","SRR5098591","SRR5098592","SRR5098593","SRR5098594","SRR5098595","SRR5098596","SRR5098597","SRR5098598","SRR5098599","SRR5098600","SRR5098601","SRR5098602","SRR5098603","SRR5098604","SRR5098605","SRR5098606","SRR5098607","SRR5098609","SRR5098610","SRR5098611","SRR5098613","SRR5098614","SRR5098668","SRR5098669","SRR5098671","SRR5098673","SRR5098675","SRR5098676","SRR5098677","SRR5098678","SRR5098679","SRR5098680","SRR5098681","SRR5098682","SRR5098685","SRR5098687","SRR5098688","SRR5098689","SRR5098690","SRR5098693","SRR5098694","SRR5098695","SRR5098696","SRR5098697","SRR5098698","SRR5098699","SRR5098700","SRR5098701","SRR5098702","SRR5098704","SRR5098705","SRR5098706","SRR5098710","SRR5098713","SRR5098714","SRR5098715","SRR5098717","SRR5098718","SRR5098719","SRR5098721","SRR5098722","SRR5098723","SRR5098724","SRR5098726","SRR5098727","SRR5098728","SRR5098729","SRR5098730","SRR5098731","SRR5098732","SRR5098733","SRR5098736","SRR5098737","SRR5098738","SRR5098739","SRR5098740","SRR5098742","SRR5098743","SRR5098746","SRR5098747","SRR5098749","SRR5098750","SRR5098752","SRR5098753","SRR5098755","SRR5098756","SRR5098757","SRR5098758","SRR5098759","SRR5098761","SRR5098762","SRR5098764","SRR5098765","SRR5098767","SRR5098768","SRR5098769","SRR5098770","SRR5098771","SRR5098772","SRR5098773","SRR5098775","SRR5098776","SRR5098777","SRR5098778","SRR5098779","SRR5098780","SRR5098781","SRR5098782"
"g__Agaricus",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,6.44495268643978,0,0,0,0,0,0,0,0,4.76021044664936,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,5.90712031864207,5.17895307041493,0,-0.32765213606036,0,-0.443176666153685,0,7.39574882408839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,-1.2209987547098,0,0,0,0,0,0,0,5.7756620805406,0,-0.512550230703857,0,0,0,0,0,0,0,6.440891241308,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,6.8377273206186,8.98785903473961,0,0,-0.477237312298933,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,7.80043381723077,-0.679037138853603,0,-0.959826083873439,-0.639590154809694,0,7.17898250332323,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,4.27714470961265,0,7.98413000556575,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,4.82886997914138,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,6.58173927840995,0,0,0,-1.41202424123817,-0.60266752763873,0,6.13213266341405,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,6.3715802044057,0,0,-0.714180423015195,0,0,0,0,0,0,6.28990206210734,0,0,5.54125487119968,0,0,0,0,8.28831975597344,0,-0.538194856945399,0,6.03605877635357,0,4.85465997321694,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,10.2309654838716,0,0,0,0,0,0,0,0,0,-0.488398851955489,5.4638791659538,0,0,0,4.36532610689794,0,0,0,0,0,0,0,5.90712031864207,0,6.74909149788301,0
"g__Elmerina",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,-1.2209987547098,0,0,0,0,0,0,0,-1.25342548360906,0,5.63805253774242,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,-0.709130347020979,-0.679037138853603,0,-0.959826083873439,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,-1.57505777016182,0,-0.725830000505978,0,0,6.01038015981154,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,-1.01515515973459,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,5.00071102241123,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,-2.30463193158062,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Hymenochaete",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03756198177575,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,5.02009158927055,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,5.97568781612455,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,4.87942581421021,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,-0.709130347020979,-0.679037138853603,0,-0.959826083873439,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,-1.57505777016182,0,-0.725830000505978,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,-1.01515515973459,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,-2.30463193158062,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Irpex",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,-1.2209987547098,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,3.65656870935058,0,-0.709130347020979,-0.679037138853603,0,4.85430444795163,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,6.07327633734063,0,0,0,-0.503354559273118,0,0,-1.57505777016182,0,-0.725830000505978,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,-1.01515515973459,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,-2.30463193158062,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,9.91910124608972,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Lentinula",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,-1.2209987547098,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,-0.709130347020979,7.46940852738963,0,-0.959826083873439,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,4.90957746547343,0,-0.725830000505978,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,3.56981231893598,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,-2.30463193158062,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Peniophora",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,6.23429973097349,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,-0.443584164928201,0,0,6.60175662440399,0,0,0,0,0,0,0,-0.470747853180101,0,0,6.83030487790537,-0.33241533721369,0,-0.709130347020979,-0.679037138853603,0,-0.959826083873439,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,-1.57505777016182,0,-0.725830000505978,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,-1.01515515973459,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,8.06220058637871,0,0,0,0,-0.540893627875209,0,0,5.95765998518435,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,3.68432948530924,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,6.11137705972677,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Schizophyllum",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,6.16571395216218,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,-1.2209987547098,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,5.24961043528826,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,-0.709130347020979,-0.679037138853603,0,-0.959826083873439,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,5.5369001520043,0,0,-1.57505777016182,0,-0.725830000505978,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,6.440891241308,0,0,0,0,0,-1.01515515973459,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,-2.30463193158062,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,6.51813811273059,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,6.8477054579083,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Sporisorium",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,-1.2209987547098,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,-0.709130347020979,-0.679037138853603,0,4.74395639078276,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,-1.57505777016182,0,-0.725830000505978,0,0,-0.546398196346504,0,3.58602108830913,0,0,0,0,0,-0.438988179921944,0,5.97453200016959,0,-0.585535567391636,0,0,0,0,0,-1.01515515973459,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,4.1165436189862,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,-2.30463193158062,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Stereum",0,5.87900404407008,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,4.30877366864305,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,3.76260069761214,-1.2209987547098,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,-0.709130347020979,-0.679037138853603,0,-0.959826083873439,-0.639590154809694,0,-0.652634773029384,0,0,0,-0.352842208716438,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,-1.57505777016182,0,-0.725830000505978,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,-1.01515515973459,0,0,0,6.85516794469398,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,-0.579234564036882,0,0,7.85598465316715,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,4.7262255445355,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,-0.499288712258998,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
"g__Trametes",0,-0.53445491309728,0,0,0,-0.707210648092113,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.16584353930735,0,0,-0.560519450196562,0,0,-0.585904789676343,0,0,0,0,0,0,0,0,-0.432746404240851,0,0,-0.464662425262193,-0.391706697149368,0,0,0,0,-0.528510118226763,0,0,-0.456371962660959,-1.17751375676863,0,0,-0.815255816588082,0,-0.473347717418089,-0.53701093805837,-1.10331367648108,0,-0.32765213606036,0,-0.443176666153685,0,-0.672340802189854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.726555297254079,0,0,0,0,0,-0.594108129077448,-1.2209987547098,0,0,0,0,0,0,0,-1.25342548360906,0,-0.512550230703857,0,0,0,0,0,0,0,-0.585535567391636,0,0,0,0,0,0,0,0,-0.658478959876679,-0.768538879314502,-0.315349136159855,0,0,0,0,0,0,-0.621611574601691,-0.817078094067238,0,0,-0.477237312298933,-0.443584164928201,0,0,-0.600159693127636,0,0,0,0,0,0,0,-0.470747853180101,0,0,-0.620936807082306,-0.33241533721369,0,-0.709130347020979,-0.679037138853603,0,-0.959826083873439,7.03549170290664,0,-0.652634773029384,0,0,0,3.88126429588082,0,-0.55211603066733,0,0,0,-0.503354559273118,0,0,4.98879775637031,0,-0.725830000505978,0,0,-0.546398196346504,0,-0.326001917119012,0,0,0,0,0,-0.438988179921944,0,-0.54313927274269,0,-0.585535567391636,0,0,0,0,0,-1.01515515973459,0,0,0,-1.41202424123817,-0.60266752763873,0,-0.557466605764914,-0.454610092946475,0,-0.732927326034428,0,0,0,0,-0.540893627875209,0,0,-1.00742036041706,-0.579234564036882,0,0,-0.714180423015195,0,0,0,0,0,0,-0.571809278373394,0,0,-0.503750442836334,0,0,0,0,-0.753483614179404,0,-0.538194856945399,0,-0.548732616032143,0,-2.30463193158062,-0.374053030811012,0,-0.470453908136936,0,0,0,0,0,0,0,0,0,0,5.49217583484898,0,0,-0.433208085938819,0,0,-0.592558010248236,0,0,-0.516709097836891,-0.901736476917248,0,-0.554082045835398,-0.622518677991664,0,0,0,-0.555579732702434,0,0,-0.930087771261054,0,0,0,0,0,0,0,0,0,-0.488398851955489,-0.936378279355025,0,0,0,-0.396847827899813,0,0,0,0,0,0,0,-0.53701093805837,0,-0.613553772534819,0
