"","Genus","unique"
"g__Agaricus","g__Agaricus","g__Agaricus"
"g__Elmerina","g__Elmerina","g__Elmerina"
"g__Hymenochaete","g__Hymenochaete","g__Hymenochaete"
"g__Irpex","g__Irpex","g__Irpex"
"g__Lentinula","g__Lentinula","g__Lentinula"
"g__Peniophora","g__Peniophora","g__Peniophora"
"g__Schizophyllum","g__Schizophyllum","g__Schizophyllum"
"g__Sporisorium","g__Sporisorium","g__Sporisorium"
"g__Stereum","g__Stereum","g__Stereum"
"g__Trametes","g__Trametes","g__Trametes"
"g__Xylodon","g__Xylodon","g__Xylodon"
"Other","Other","Other"
