"","x"
"SRR5098332",0
"SRR5098333",1540
"SRR5098339",313
"SRR5098340",0
"SRR5098341",22719
"SRR5098343",2253
"SRR5098346",740
"SRR5098348",0
"SRR5098349",1075
"SRR5098351",1642
"SRR5098357",668
"SRR5098359",110
"SRR5098361",0
"SRR5098364",213
"SRR5098366",423
"SRR5098367",456
"SRR5098368",0
"SRR5098369",570
"SRR5098371",517
"SRR5098372",567
"SRR5098373",3056
"SRR5098374",82
"SRR5098375",1362
"SRR5098376",0
"SRR5098377",19578
"SRR5098378",1299
"SRR5098379",0
"SRR5098380",65
"SRR5098382",0
"SRR5098383",0
"SRR5098384",8122
"SRR5098385",0
"SRR5098386",224
"SRR5098388",13300
"SRR5098389",3637
"SRR5098390",56573
"SRR5098392",9062
"SRR5098393",15312
"SRR5098394",1108
"SRR5098395",42
"SRR5098396",9501
"SRR5098397",1151
"SRR5098398",0
"SRR5098400",0
"SRR5098401",462
"SRR5098402",5156
"SRR5098403",152
"SRR5098406",3107
"SRR5098407",183
"SRR5098408",0
"SRR5098409",18511
"SRR5098410",256
"SRR5098411",14645
"SRR5098413",7987
"SRR5098415",137
"SRR5098416",0
"SRR5098417",0
"SRR5098420",0
"SRR5098421",53153
"SRR5098425",31
"SRR5098426",2482
"SRR5098427",0
"SRR5098429",543
"SRR5098430",0
"SRR5098431",1605
"SRR5098432",3193
"SRR5098434",1866
"SRR5098435",22
"SRR5098436",364
"SRR5098438",6412
"SRR5098439",0
"SRR5098442",4687
"SRR5098443",2965
"SRR5098444",77475
"SRR5098445",0
"SRR5098446",4700
"SRR5098447",42289
"SRR5098449",338
"SRR5098450",1408
"SRR5098452",35748
"SRR5098453",511
"SRR5098454",3095
"SRR5098456",5398
"SRR5098457",1919
"SRR5098458",50071
"SRR5098459",3465
"SRR5098460",0
"SRR5098461",0
"SRR5098465",630
"SRR5098466",3047
"SRR5098467",1290
"SRR5098469",388
"SRR5098471",663
"SRR5098473",504
"SRR5098475",974
"SRR5098477",5936
"SRR5098478",0
"SRR5098479",2104
"SRR5098481",295
"SRR5098483",5724
"SRR5098484",406
"SRR5098486",1167
"SRR5098487",10469
"SRR5098488",21017
"SRR5098489",10454
"SRR5098490",2740
"SRR5098492",0
"SRR5098493",916
"SRR5098494",1342
"SRR5098495",0
"SRR5098496",0
"SRR5098498",0
"SRR5098499",7076
"SRR5098500",94
"SRR5098501",3602
"SRR5098502",0
"SRR5098503",58694
"SRR5098504",0
"SRR5098506",5969
"SRR5098507",9157
"SRR5098508",2412
"SRR5098510",0
"SRR5098516",0
"SRR5098517",8061
"SRR5098518",1131
"SRR5098519",1566
"SRR5098520",0
"SRR5098521",491
"SRR5098522",0
"SRR5098523",6244
"SRR5098526",634
"SRR5098527",17896
"SRR5098529",29
"SRR5098531",574
"SRR5098534",0
"SRR5098535",0
"SRR5098536",10161
"SRR5098537",0
"SRR5098538",0
"SRR5098539",264
"SRR5098540",2295
"SRR5098541",3551
"SRR5098542",297
"SRR5098543",931
"SRR5098544",755
"SRR5098545",0
"SRR5098546",2739
"SRR5098547",0
"SRR5098548",3596
"SRR5098551",0
"SRR5098554",0
"SRR5098556",0
"SRR5098557",3563
"SRR5098558",0
"SRR5098559",9159
"SRR5098560",7468
"SRR5098561",2116
"SRR5098564",906
