"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"PRJNA356769b_ITS2_ASV1000","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Amaryllidaceae","g__Allium","s__sativum"
"PRJNA356769b_ITS2_ASV1001","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Asparagaceae","g__Asparagus","s__persicus"
"PRJNA356769b_ITS2_ASV1003","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fabales","f__Fabaceae","g__Trigonella","s__foenum-graecum"
"PRJNA356769b_ITS2_ASV1008","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Malvales","f__Malvaceae","g__Gossypium","s__herbaceum"
"PRJNA356769b_ITS2_ASV102","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Capsicum","s__annuum"
"PRJNA356769b_ITS2_ASV104","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Urticaceae","g__Urtica","s__stachyoides"
"PRJNA356769b_ITS2_ASV109","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Apiales","f__Apiaceae","g__Daucus","s__syrticus"
"PRJNA356769b_ITS2_ASV12","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__rapa"
"PRJNA356769b_ITS2_ASV121","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Monocotyledonae_ord_Incertae_sedis","f__Monocotyledonae_fam_Incertae_sedis","g__Monocotyledonae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV133","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Fagales","f__Juglandaceae","g__Carya","s__kweichowensis"
"PRJNA356769b_ITS2_ASV134","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Solanales","f__Solanaceae","g__Solanaceae_gen_Incertae_sedis",NA
"PRJNA356769b_ITS2_ASV138","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769b_ITS2_ASV14","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Brassica","s__insularis"
"PRJNA356769b_ITS2_ASV408","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Prunus","s__persica"
"PRJNA356769b_ITS2_ASV145","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Rosales","f__Rosaceae","g__Fragaria","s__vesca"
"PRJNA356769b_ITS2_ASV148","k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Amaranthaceae","g__Spinacia","s__oleracea"
