query_id,query_reads_count,subject_id,%_identity,alignment_length,mismatches,gap_opens,query_length,q_start,q_end,subject_length,s_start,s_end,evalue,bit_score
ERR3855113,16443,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,100.0,31.0,53.0,23.0,1.0,23.0,8.83e-09,42.8
ERR3855113,16443,ITS2_1_rev,100.0,20.0,0.0,0.0,100.0,5.0,24.0,20.0,1.0,20.0,3.76e-07,37.4
ERR3855113,16443,58A2R_1_rev,100.0,17.0,0.0,0.0,100.0,6.0,22.0,17.0,1.0,17.0,1.6e-05,31.9
ERR3855113,16443,B58S3_1_rev,85.0,20.0,3.0,0.0,100.0,34.0,53.0,20.0,1.0,20.0,0.000195,29.2
ERR3855114,14574,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,64.0,32.0,54.0,23.0,1.0,23.0,5.3e-09,42.8
ERR3855114,14574,ITS2_1_rev,100.0,20.0,0.0,0.0,64.0,6.0,25.0,20.0,1.0,20.0,2.25e-07,37.4
ERR3855114,14574,58A2R_1_rev,100.0,17.0,0.0,0.0,64.0,7.0,23.0,17.0,1.0,17.0,9.58e-06,31.9
ERR3855114,14574,B58S3_1_rev,85.0,20.0,3.0,0.0,64.0,35.0,54.0,20.0,1.0,20.0,0.000117,29.2
ERR3855115,12422,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,100.0,32.0,54.0,23.0,1.0,23.0,8.83e-09,42.8
ERR3855115,12422,ITS2_1_rev,100.0,20.0,0.0,0.0,100.0,6.0,25.0,20.0,1.0,20.0,3.76e-07,37.4
ERR3855115,12422,58A2R_1_rev,100.0,17.0,0.0,0.0,100.0,7.0,23.0,17.0,1.0,17.0,1.6e-05,31.9
ERR3855115,12422,B58S3_1_rev,85.0,20.0,3.0,0.0,100.0,35.0,54.0,20.0,1.0,20.0,0.000195,29.2
ERR3855116,25498,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,100.0,34.0,56.0,23.0,1.0,23.0,8.83e-09,42.8
ERR3855116,25498,ITS2_1_rev,100.0,20.0,0.0,0.0,100.0,8.0,27.0,20.0,1.0,20.0,3.76e-07,37.4
ERR3855116,25498,58A2R_1_rev,100.0,17.0,0.0,0.0,100.0,9.0,25.0,17.0,1.0,17.0,1.6e-05,31.9
ERR3855116,25498,B58S3_1_rev,85.0,20.0,3.0,0.0,100.0,37.0,56.0,20.0,1.0,20.0,0.000195,29.2
ERR3855117,28036,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,65.0,33.0,55.0,23.0,1.0,23.0,5.4e-09,42.8
ERR3855117,28036,ITS2_1_rev,100.0,20.0,0.0,0.0,65.0,7.0,26.0,20.0,1.0,20.0,2.3e-07,37.4
ERR3855117,28036,58A2R_1_rev,100.0,17.0,0.0,0.0,65.0,8.0,24.0,17.0,1.0,17.0,9.76e-06,31.9
ERR3855117,28036,B58S3_1_rev,85.0,20.0,3.0,0.0,65.0,36.0,55.0,20.0,1.0,20.0,0.000119,29.2
ERR3855118,31033,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,65.0,33.0,55.0,23.0,1.0,23.0,5.4e-09,42.8
ERR3855118,31033,ITS2_1_rev,100.0,20.0,0.0,0.0,65.0,7.0,26.0,20.0,1.0,20.0,2.3e-07,37.4
ERR3855118,31033,58A2R_1_rev,100.0,17.0,0.0,0.0,65.0,8.0,24.0,17.0,1.0,17.0,9.76e-06,31.9
ERR3855118,31033,B58S3_1_rev,85.0,20.0,3.0,0.0,65.0,36.0,55.0,20.0,1.0,20.0,0.000119,29.2
ERR3855119,33966,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,100.0,34.0,56.0,23.0,1.0,23.0,8.83e-09,42.8
ERR3855119,33966,ITS2_1_rev,100.0,20.0,0.0,0.0,100.0,8.0,27.0,20.0,1.0,20.0,3.76e-07,37.4
ERR3855119,33966,58A2R_1_rev,100.0,17.0,0.0,0.0,100.0,9.0,25.0,17.0,1.0,17.0,1.6e-05,31.9
ERR3855119,33966,B58S3_1_rev,85.0,20.0,3.0,0.0,100.0,37.0,56.0,20.0,1.0,20.0,0.000195,29.2
ERR3855120,25548,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,100.0,34.0,56.0,23.0,1.0,23.0,8.83e-09,42.8
ERR3855120,25548,ITS2_1_rev,100.0,20.0,0.0,0.0,100.0,8.0,27.0,20.0,1.0,20.0,3.76e-07,37.4
ERR3855120,25548,58A2R_1_rev,100.0,17.0,0.0,0.0,100.0,9.0,25.0,17.0,1.0,17.0,1.6e-05,31.9
ERR3855120,25548,B58S3_1_rev,85.0,20.0,3.0,0.0,100.0,37.0,56.0,20.0,1.0,20.0,0.000195,29.2
ERR3855121,31779,5.8S_Fungi_1_rev,100.0,23.0,0.0,0.0,66.0,34.0,56.0,23.0,1.0,23.0,5.5e-09,42.8
ERR3855121,31779,ITS2_1_rev,100.0,20.0,0.0,0.0,66.0,8.0,27.0,20.0,1.0,20.0,2.34e-07,37.4
