qseqid	sseqid	pident	length	qcovs	mismatch	gapopen	qlen	qstart	qend	slen	sstart	send	sstrand	evalue	bitscore
PRJNA356769_ITS2_ASV1	ITS86F_2_fwd	100.000	21	6	0	0	381	35	55	21	1	21	plus	6.30e-08	42.1
PRJNA356769_ITS2_ASV1	fITS7R_1_rev	94.737	19	5	1	0	381	35	53	19	19	1	minus	1.54e-05	34.2
PRJNA356769_ITS2_ASV1	fITS7_2_fwd	94.737	19	5	1	0	381	35	53	19	1	19	plus	1.54e-05	34.2
PRJNA356769_ITS2_ASV1	LR0B_2_rev	94.737	19	5	1	0	381	351	369	19	19	1	minus	2.40e-04	30.2
PRJNA356769_ITS2_ASV1	gITS7_2_fwd	89.474	19	5	2	0	381	35	53	19	1	19	plus	2.40e-04	30.2
PRJNA356769_ITS2_ASV1	ITS4-Seb_2_rev	94.118	17	4	1	0	381	359	375	19	17	1	minus	0.004	26.3
PRJNA356769_ITS2_ASV2	ITS86F_2_fwd	100.000	21	6	0	0	324	35	55	21	1	21	plus	5.34e-08	42.1
PRJNA356769_ITS2_ASV2	LR0B_2_rev	100.000	19	6	0	0	324	294	312	19	19	1	minus	8.33e-07	38.2
PRJNA356769_ITS2_ASV2	fITS7_2_fwd	94.737	19	6	1	0	324	35	53	19	1	19	plus	1.30e-05	34.2
PRJNA356769_ITS2_ASV2	fITS7R_1_rev	94.737	19	6	1	0	324	35	53	19	19	1	minus	1.30e-05	34.2
PRJNA356769_ITS2_ASV2	gITS7_2_fwd	89.474	19	6	2	0	324	35	53	19	1	19	plus	2.03e-04	30.2
PRJNA356769_ITS2_ASV2	ITS4-Seb_2_rev	94.118	17	5	1	0	324	302	318	19	17	1	minus	2.03e-04	30.2
PRJNA356769_ITS2_ASV2	ITS4-Clav_2_rev	94.118	17	5	1	0	324	296	312	18	17	1	minus	0.003	26.3
PRJNA356769_ITS2_ASV3	ITS86F_2_fwd	100.000	21	5	0	0	422	35	55	21	1	21	plus	7.00e-08	42.1
PRJNA356769_ITS2_ASV3	fITS7R_1_rev	94.737	19	5	1	0	422	35	53	19	19	1	minus	1.71e-05	34.2
PRJNA356769_ITS2_ASV3	fITS7_2_fwd	94.737	19	5	1	0	422	35	53	19	1	19	plus	1.71e-05	34.2
