query_id,query_reads_count,subject_id,%_identity,alignment_length,mismatches,gap_opens,query_length,q_start,q_end,subject_length,s_start,s_end,evalue,bit_score
F2FH1170,57332,ITS4-Fun_2_rev,96.0,25,1,0,67,7,31,27,3,27,5.59e-09,43.7
F2FH1170,57332,ITS4_2_rev,100.0,20,0,0,67,6,25,20,1,20,2.38e-07,37.4
F2FH1170,57332,ITS4ngs_2_rev,95.0,20,1,0,67,6,25,20,1,20,2.9e-06,34.6
F2FH1176,53791,ITS4-Fun_2_rev,96.0,25,1,0,63,9,33,27,3,27,5.2e-09,43.7
F2FH1176,53791,ITS4_2_rev,100.0,20,0,0,63,8,27,20,1,20,2.21e-07,37.4
F2FH1176,53791,ITS4ngs_2_rev,95.0,20,1,0,63,8,27,20,1,20,2.69e-06,34.6
F2FH1176,53791,LR0B_2_rev,94.737,19,1,0,63,40,58,19,1,19,3.28e-05,31.0
F2FH1177,32800,ITS4-Fun_2_rev,100.0,23,0,0,100,10,32,27,3,25,8.83e-09,42.8
F2FH1177,32800,ITS4_2_rev,100.0,20,0,0,100,9,28,20,1,20,3.76e-07,37.4
F2FH1177,32800,ITS4ngs_2_rev,95.0,20,1,0,100,9,28,20,1,20,4.58e-06,34.6
F2FH1186,59040,ITS4_2_rev,100.0,20,0,0,26,7,26,20,1,20,7.85e-08,37.4
F2FH1186,59040,ITS4-Fun_2_rev,100.0,19,0,0,26,8,26,27,3,21,2.74e-07,35.6
F2FH1186,59040,ITS4ngs_2_rev,95.0,20,1,0,26,7,26,20,1,20,9.56e-07,34.6
F2FH1202,63501,ITS4_2_rev,100.0,20,0,0,26,7,26,20,1,20,7.85e-08,37.4
F2FH1202,63501,ITS4-Fun_2_rev,100.0,19,0,0,26,8,26,27,3,21,2.74e-07,35.6
F2FH1202,63501,ITS4ngs_2_rev,95.0,20,1,0,26,7,26,20,1,20,9.56e-07,34.6
F2FH1205,65927,ITS4-Fun_2_rev,100.0,23,0,0,100,7,29,27,3,25,8.83e-09,42.8
F2FH1205,65927,ITS4_2_rev,100.0,20,0,0,100,6,25,20,1,20,3.76e-07,37.4
F2FH1205,65927,ITS4ngs_2_rev,95.0,20,1,0,100,6,25,20,1,20,4.58e-06,34.6
F2FH1206,45033,ITS4-Fun_2_rev,96.0,25,1,0,80,10,34,27,3,27,6.87e-09,43.7
F2FH1206,45033,ITS4_2_rev,100.0,20,0,0,80,9,28,20,1,20,2.92e-07,37.4
